sample_id,form,feature,feature_value,known_concentration_mg_ml
Standard 5,oxidized,centroid_nm,389.9845791250133,0.095
Standard 6,oxidized,centroid_nm,389.9758213137023,0.047
Standard 7,oxidized,centroid_nm,390.22019220474647,0.023
Standard 1,oxidized,fwhm_nm,159.0,0.473
Standard 2,oxidized,fwhm_nm,159.0,0.378
Standard 3,oxidized,fwhm_nm,159.0,0.284
Standard 4,oxidized,fwhm_nm,159.0,0.189
Standard 5,oxidized,fwhm_nm,159.0,0.095
Standard 6,oxidized,fwhm_nm,159.0,0.047
Standard 7,oxidized,fwhm_nm,159.0,0.023
Standard 1,oxidized,abs_384_nm,131010.0,0.473
Standard 2,oxidized,abs_384_nm,150510.0,0.378
Standard 3,oxidized,abs_384_nm,131100.0,0.284
Standard 4,oxidized,abs_384_nm,66888.0,0.189
Standard 5,oxidized,abs_384_nm,49740.0,0.095
Standard 6,oxidized,abs_384_nm,27630.0,0.047
Standard 7,oxidized,abs_384_nm,19710.0,0.023
Standard 1,oxidized,abs_400_nm,121679.99999999996,0.473
Standard 2,oxidized,abs_400_nm,140059.99999999997,0.378
Standard 3,oxidized,abs_400_nm,122079.99999999996,0.284
Standard 4,oxidized,abs_400_nm,62168.999999999985,0.189
Standard 5,oxidized,abs_400_nm,46223.99999999999,0.095
Standard 6,oxidized,abs_400_nm,25694.999999999993,0.047
Standard 7,oxidized,abs_400_nm,18342.999999999996,0.023
Standard 1,oxidized,ratio_abs_384_400,1.0766765285996058,0.473
Standard 2,oxidized,ratio_abs_384_400,1.0746108810509785,0.378
Standard 3,oxidized,ratio_abs_384_400,1.0738859764089124,0.284
Standard 4,oxidized,ratio_abs_384_400,1.0759059981662888,0.189
Standard 5,oxidized,ratio_abs_384_400,1.076064382139149,0.095
Standard 6,oxidized,ratio_abs_384_400,1.0753064798598952,0.047
Standard 7,oxidized,ratio_abs_384_400,1.0745243417107346,0.023
Standard 1,oxidized,auc_320_380,5531110.0,0.473
Standard 2,oxidized,auc_320_380,6280165.0,0.378
Standard 3,oxidized,auc_320_380,5447700.0,0.284
Standard 4,oxidized,auc_320_380,2794010.0,0.189
Standard 5,oxidized,auc_320_380,2057730.0,0.095
Standard 6,oxidized,auc_320_380,1140250.0,0.047
Standard 7,oxidized,auc_320_380,807617.0,0.023
Standard 1,oxidized,auc_380_440,6195995.0,0.473
Standard 2,oxidized,auc_380_440,7128725.0,0.378
Standard 3,oxidized,auc_380_440,6213005.0,0.284
Standard 4,oxidized,auc_380_440,3161785.0,0.189
Standard 5,oxidized,auc_380_440,2346670.0,0.095
Standard 6,oxidized,auc_380_440,1303820.0,0.047
Standard 7,oxidized,auc_380_440,931735.5,0.023
