sample_id,form,feature,feature_value,conc_mg_ml,amount_mg_per_gDW
2I,total,fwhm_nm,,0.0558644951558357,0.6421206339751239
2J,total,fwhm_nm,,0.0650363374971796,1.0005590384181482
3A,total,fwhm_nm,,0.0418687829038322,0.9736926256705184
3C,total,fwhm_nm,93.0,0.079846843919444,1.0790114043168109
3D,total,fwhm_nm,,0.0866608305645461,1.255954066152843
3E,total,fwhm_nm,,0.0440031109958431,0.5500388874480391
3H,total,fwhm_nm,,0.0470099178011421,0.9040368807911956
4A,total,fwhm_nm,,0.0364031724519937,0.5200453207427675
4B,total,fwhm_nm,,0.0615464226440267,0.8668510231553068
4F,total,fwhm_nm,,0.0647046513747725,0.8088081421846567
4G,total,fwhm_nm,,0.0643152807093381,1.0373432372473892
4H,total,fwhm_nm,,0.0395614011827395,0.5651628740391357
5B,total,fwhm_nm,,0.0489207182889221,0.7194223277782666
5D,total,fwhm_nm,,0.0538815889892716,0.7483554026287729
5E,total,fwhm_nm,,0.0428854729746887,0.5428540882871999
5F,total,fwhm_nm,,0.0664423982334705,0.9770940916686844
5I,total,fwhm_nm,,0.0292791313881197,0.5048126101399952
6C,total,fwhm_nm,,0.0403329319457299,0.5450396208882419
6D,total,fwhm_nm,,0.0676681947728011,0.9530731658141
6F,total,fwhm_nm,,0.0092986477970318,0.1207616597017118
6H,total,fwhm_nm,,0.0071571091371425,0.1555893290683165
6J,total,fwhm_nm,,0.0,0.0
1D,total,abs_384_nm,20949.000000000004,0.0596860961313957,0.9947682688565952
1F,total,abs_384_nm,30315.0,0.0776043573092569,0.8255782692474143
1G,total,abs_384_nm,23778.0,0.0585900898138766,0.723334442146625
1I,total,abs_384_nm,11113.0,0.0293800793384175,0.3970280991678045
1J,total,abs_384_nm,28165.0,0.0756142405748144,0.94517800718518
2B,total,abs_384_nm,34166.0,0.1010314923462272,1.2628936543278404
2E,total,abs_384_nm,22137.0,0.0568523429551786,0.7787992185640907
2G,total,abs_384_nm,15340.999999999996,0.0399507718481739,0.4932194055330111
2I,total,abs_384_nm,22406.0,0.0558644951558357,0.6421206339751239
2J,total,abs_384_nm,23438.999999999996,0.0650363374971796,1.0005590384181482
3A,total,abs_384_nm,17668.0,0.0418687829038322,0.9736926256705184
3C,total,abs_384_nm,29085.0,0.079846843919444,1.0790114043168109
3D,total,abs_384_nm,31178.0,0.0866608305645461,1.255954066152843
3E,total,abs_384_nm,17924.0,0.0440031109958431,0.5500388874480391
3H,total,abs_384_nm,19637.0,0.0470099178011421,0.9040368807911956
4A,total,abs_384_nm,16304.0,0.0364031724519937,0.5200453207427675
4B,total,abs_384_nm,22561.0,0.0615464226440267,0.8668510231553068
4F,total,abs_384_nm,23897.0,0.0647046513747725,0.8088081421846567
4G,total,abs_384_nm,24101.0,0.0643152807093381,1.0373432372473892
4H,total,abs_384_nm,15679.0,0.0395614011827395,0.5651628740391357
5B,total,abs_384_nm,19311.0,0.0489207182889221,0.7194223277782666
5D,total,abs_384_nm,20600.0,0.0538815889892716,0.7483554026287729
5E,total,abs_384_nm,17258.0,0.0428854729746887,0.5428540882871999
5F,total,abs_384_nm,24601.0,0.0664423982334705,0.9770940916686844
5I,total,abs_384_nm,13370.0,0.0292791313881197,0.5048126101399952
6C,total,abs_384_nm,16440.0,0.0403329319457299,0.5450396208882419
6D,total,abs_384_nm,24299.0,0.0676681947728011,0.9530731658141
6F,total,abs_384_nm,7344.699999999999,0.0092986477970318,0.1207616597017118
6H,total,abs_384_nm,5896.7,0.0071571091371425,0.1555893290683165
6J,total,abs_384_nm,3867.199999999999,0.0,0.0
1D,total,abs_400_nm,21824.0,0.0596860961313957,0.9947682688565952
1F,total,abs_400_nm,28740.999999999996,0.0776043573092569,0.8255782692474143
1G,total,abs_400_nm,22465.999999999996,0.0585900898138766,0.723334442146625
1I,total,abs_400_nm,11362.0,0.0293800793384175,0.3970280991678045
1J,total,abs_400_nm,27069.999999999996,0.0756142405748144,0.94517800718518
2B,total,abs_400_nm,32862.99999999999,0.1010314923462272,1.2628936543278404
2E,total,abs_400_nm,21266.999999999996,0.0568523429551786,0.7787992185640907
2G,total,abs_400_nm,13078.999999999998,0.0399507718481739,0.4932194055330111
2I,total,abs_400_nm,21068.999999999996,0.0558644951558357,0.6421206339751239
2J,total,abs_400_nm,21346.999999999996,0.0650363374971796,1.0005590384181482
3A,total,abs_400_nm,16578.999999999996,0.0418687829038322,0.9736926256705184
3C,total,abs_400_nm,28759.999999999996,0.079846843919444,1.0790114043168109
3D,total,abs_400_nm,29749.999999999996,0.0866608305645461,1.255954066152843
3E,total,abs_400_nm,17917.0,0.0440031109958431,0.5500388874480391
3H,total,abs_400_nm,18758.999999999996,0.0470099178011421,0.9040368807911956
4A,total,abs_400_nm,16850.0,0.0364031724519937,0.5200453207427675
4B,total,abs_400_nm,21863.0,0.0615464226440267,0.8668510231553068
4F,total,abs_400_nm,23040.999999999996,0.0647046513747725,0.8088081421846567
4G,total,abs_400_nm,23138.999999999996,0.0643152807093381,1.0373432372473892
4H,total,abs_400_nm,15486.0,0.0395614011827395,0.5651628740391357
5B,total,abs_400_nm,18993.0,0.0489207182889221,0.7194223277782666
5D,total,abs_400_nm,19834.0,0.0538815889892716,0.7483554026287729
5E,total,abs_400_nm,16925.0,0.0428854729746887,0.5428540882871999
5F,total,abs_400_nm,23940.999999999996,0.0664423982334705,0.9770940916686844
5I,total,abs_400_nm,12723.999999999998,0.0292791313881197,0.5048126101399952
6C,total,abs_400_nm,16109.0,0.0403329319457299,0.5450396208882419
6D,total,abs_400_nm,23276.999999999996,0.0676681947728011,0.9530731658141
6F,total,abs_400_nm,6733.699999999999,0.0092986477970318,0.1207616597017118
6H,total,abs_400_nm,5370.699999999999,0.0071571091371425,0.1555893290683165
6J,total,abs_400_nm,3351.6999999999994,0.0,0.0
1D,total,ratio_abs_384_400,0.9599065249266864,0.0596860961313957,0.9947682688565952
1F,total,ratio_abs_384_400,1.054764969903622,0.0776043573092569,0.8255782692474143
1G,total,ratio_abs_384_400,1.0583993590314251,0.0585900898138766,0.723334442146625
1I,total,ratio_abs_384_400,0.9780848442175674,0.0293800793384175,0.3970280991678045
1J,total,ratio_abs_384_400,1.0404506834133729,0.0756142405748144,0.94517800718518
2B,total,ratio_abs_384_400,1.0396494537930197,0.1010314923462272,1.2628936543278404
2E,total,ratio_abs_384_400,1.04090844971082,0.0568523429551786,0.7787992185640907
2G,total,ratio_abs_384_400,1.1729490022172948,0.0399507718481739,0.4932194055330111
2I,total,ratio_abs_384_400,1.0634581612796052,0.0558644951558357,0.6421206339751239
2J,total,ratio_abs_384_400,1.0979997189300603,0.0650363374971796,1.0005590384181482
3A,total,ratio_abs_384_400,1.0656855057602994,0.0418687829038322,0.9736926256705184
3C,total,ratio_abs_384_400,1.0113004172461757,0.079846843919444,1.0790114043168109
3D,total,ratio_abs_384_400,1.048,0.0866608305645461,1.255954066152843
3E,total,ratio_abs_384_400,1.0003906904057598,0.0440031109958431,0.5500388874480391
3H,total,ratio_abs_384_400,1.0468042006503546,0.0470099178011421,0.9040368807911956
4A,total,ratio_abs_384_400,0.9675964391691396,0.0364031724519937,0.5200453207427675
4B,total,ratio_abs_384_400,1.03192608516672,0.0615464226440267,0.8668510231553068
4F,total,ratio_abs_384_400,1.0371511653140055,0.0647046513747725,0.8088081421846567
4G,total,ratio_abs_384_400,1.0415748303729635,0.0643152807093381,1.0373432372473892
4H,total,ratio_abs_384_400,1.0124628696887512,0.0395614011827395,0.5651628740391357
5B,total,ratio_abs_384_400,1.0167430105828463,0.0489207182889221,0.7194223277782666
5D,total,ratio_abs_384_400,1.0386205505697288,0.0538815889892716,0.7483554026287729
5E,total,ratio_abs_384_400,1.019675036927622,0.0428854729746887,0.5428540882871999
5F,total,ratio_abs_384_400,1.0275677707698092,0.0664423982334705,0.9770940916686844
5I,total,ratio_abs_384_400,1.0507701980509276,0.0292791313881197,0.5048126101399952
6C,total,ratio_abs_384_400,1.0205475200198646,0.0403329319457299,0.5450396208882419
6D,total,ratio_abs_384_400,1.043906001632513,0.0676681947728011,0.9530731658141
6F,total,ratio_abs_384_400,1.0907376330991876,0.0092986477970318,0.1207616597017118
6H,total,ratio_abs_384_400,1.0979388161692147,0.0071571091371425,0.1555893290683165
6J,total,ratio_abs_384_400,1.1538025479607363,0.0,0.0
1D,total,auc_320_380,1056540.0,0.0596860961313957,0.9947682688565952
1F,total,auc_320_380,1691465.0,0.0776043573092569,0.8255782692474143
1G,total,auc_320_380,1209125.0,0.0585900898138766,0.723334442146625
1I,total,auc_320_380,693775.0,0.0293800793384175,0.3970280991678045
1J,total,auc_320_380,2559430.0,0.0756142405748144,0.94517800718518
2B,total,auc_320_380,2177215.0,0.1010314923462272,1.2628936543278404
2E,total,auc_320_380,1194680.0,0.0568523429551786,0.7787992185640907
2G,total,auc_320_380,1004575.0,0.0399507718481739,0.4932194055330111
2I,total,auc_320_380,1266605.0,0.0558644951558357,0.6421206339751239
2J,total,auc_320_380,1358060.0,0.0650363374971796,1.0005590384181482
3A,total,auc_320_380,986295.0,0.0418687829038322,0.9736926256705184
3C,total,auc_320_380,1515670.0,0.079846843919444,1.0790114043168109
3D,total,auc_320_380,1705030.0,0.0866608305645461,1.255954066152843
3E,total,auc_320_380,1126770.0,0.0440031109958431,0.5500388874480391
3H,total,auc_320_380,1202255.0,0.0470099178011421,0.9040368807911956
4A,total,auc_320_380,1048555.0,0.0364031724519937,0.5200453207427675
4B,total,auc_320_380,1317145.0,0.0615464226440267,0.8668510231553068
4F,total,auc_320_380,1430455.0,0.0647046513747725,0.8088081421846567
4G,total,auc_320_380,1319715.0,0.0643152807093381,1.0373432372473892
4H,total,auc_320_380,1099495.0,0.0395614011827395,0.5651628740391357
5B,total,auc_320_380,1191730.0,0.0489207182889221,0.7194223277782666
5D,total,auc_320_380,1243260.0,0.0538815889892716,0.7483554026287729
5E,total,auc_320_380,1142565.0,0.0428854729746887,0.5428540882871999
5F,total,auc_320_380,1505830.0,0.0664423982334705,0.9770940916686844
5I,total,auc_320_380,878685.0,0.0292791313881197,0.5048126101399952
6C,total,auc_320_380,1054885.0,0.0403329319457299,0.5450396208882419
6D,total,auc_320_380,1429010.0,0.0676681947728011,0.9530731658141
6F,total,auc_320_380,437941.5,0.0092986477970318,0.1207616597017118
6H,total,auc_320_380,366698.0,0.0071571091371425,0.1555893290683165
6J,total,auc_320_380,262536.0,0.0,0.0
1D,total,auc_380_440,1277410.0,0.0596860961313957,0.9947682688565952
1F,total,auc_380_440,1563580.0,0.0776043573092569,0.8255782692474143
1G,total,auc_380_440,1192145.0,0.0585900898138766,0.723334442146625
1I,total,auc_380_440,660135.0,0.0293800793384175,0.3970280991678045
1J,total,auc_380_440,1551235.0,0.0756142405748144,0.94517800718518
2B,total,auc_380_440,1841935.0,0.1010314923462272,1.2628936543278404
2E,total,auc_380_440,1162045.0,0.0568523429551786,0.7787992185640907
2G,total,auc_380_440,717325.0,0.0399507718481739,0.4932194055330111
2I,total,auc_380_440,1126660.0,0.0558644951558357,0.6421206339751239
2J,total,auc_380_440,1169635.0,0.0650363374971796,1.0005590384181482
3A,total,auc_380_440,881785.0,0.0418687829038322,0.9736926256705184
3C,total,auc_380_440,1603075.0,0.079846843919444,1.0790114043168109
3D,total,auc_380_440,1622560.0,0.0866608305645461,1.255954066152843
3E,total,auc_380_440,1044740.0,0.0440031109958431,0.5500388874480391
3H,total,auc_380_440,1018010.0,0.0470099178011421,0.9040368807911956
4A,total,auc_380_440,982970.0,0.0364031724519937,0.5200453207427675
4B,total,auc_380_440,1189745.0,0.0615464226440267,0.8668510231553068
4F,total,auc_380_440,1298600.0,0.0647046513747725,0.8088081421846567
4G,total,auc_380_440,1273010.0,0.0643152807093381,1.0373432372473892
4H,total,auc_380_440,888250.0,0.0395614011827395,0.5651628740391357
5B,total,auc_380_440,1067845.0,0.0489207182889221,0.7194223277782666
5D,total,auc_380_440,1109385.0,0.0538815889892716,0.7483554026287729
5E,total,auc_380_440,972090.0,0.0428854729746887,0.5428540882871999
5F,total,auc_380_440,1341770.0,0.0664423982334705,0.9770940916686844
5I,total,auc_380_440,703281.0,0.0292791313881197,0.5048126101399952
6C,total,auc_380_440,934140.0,0.0403329319457299,0.5450396208882419
6D,total,auc_380_440,1293340.0,0.0676681947728011,0.9530731658141
6F,total,auc_380_440,347123.5,0.0092986477970318,0.1207616597017118
6H,total,auc_380_440,285818.0,0.0071571091371425,0.1555893290683165
6J,total,auc_380_440,180121.5,0.0,0.0
1D,total,auc_ratio_320_380_over_380_440,0.8270954509515347,0.0596860961313957,0.9947682688565952
1F,total,auc_ratio_320_380_over_380_440,1.081789866844037,0.0776043573092569,0.8255782692474143
1G,total,auc_ratio_320_380_over_380_440,1.0142432338348104,0.0585900898138766,0.723334442146625
1I,total,auc_ratio_320_380_over_380_440,1.0509592734819393,0.0293800793384175,0.3970280991678045
1J,total,auc_ratio_320_380_over_380_440,1.6499305392155283,0.0756142405748144,0.94517800718518
2B,total,auc_ratio_320_380_over_380_440,1.1820259672572593,0.1010314923462272,1.2628936543278404
2E,total,auc_ratio_320_380_over_380_440,1.028084110339961,0.0568523429551786,0.7787992185640907
2G,total,auc_ratio_320_380_over_380_440,1.400446101836685,0.0399507718481739,0.4932194055330111
2I,total,auc_ratio_320_380_over_380_440,1.124212273445405,0.0558644951558357,0.6421206339751239
2J,total,auc_ratio_320_380_over_380_440,1.1610972653862102,0.0650363374971796,1.0005590384181482
3A,total,auc_ratio_320_380_over_380_440,1.1185209546544792,0.0418687829038322,0.9736926256705184
3C,total,auc_ratio_320_380_over_380_440,0.9454766620401416,0.079846843919444,1.0790114043168109
3D,total,auc_ratio_320_380_over_380_440,1.050827088058377,0.0866608305645461,1.255954066152843
3E,total,auc_ratio_320_380_over_380_440,1.07851714302123,0.0440031109958431,0.5500388874480391
3H,total,auc_ratio_320_380_over_380_440,1.1809854520093124,0.0470099178011421,0.9040368807911956
4A,total,auc_ratio_320_380_over_380_440,1.0667212631107763,0.0364031724519937,0.5200453207427675
4B,total,auc_ratio_320_380_over_380_440,1.1070817696229025,0.0615464226440267,0.8668510231553068
4F,total,auc_ratio_320_380_over_380_440,1.1015362698290467,0.0647046513747725,0.8088081421846567
4G,total,auc_ratio_320_380_over_380_440,1.0366886355959497,0.0643152807093381,1.0373432372473892
4H,total,auc_ratio_320_380_over_380_440,1.2378215592457078,0.0395614011827395,0.5651628740391357
5B,total,auc_ratio_320_380_over_380_440,1.116014028253164,0.0489207182889221,0.7194223277782666
5D,total,auc_ratio_320_380_over_380_440,1.1206749685636637,0.0538815889892716,0.7483554026287729
5E,total,auc_ratio_320_380_over_380_440,1.1753695645464926,0.0428854729746887,0.5428540882871999
5F,total,auc_ratio_320_380_over_380_440,1.122271328170998,0.0664423982334705,0.9770940916686844
5I,total,auc_ratio_320_380_over_380_440,1.249408131315932,0.0292791313881197,0.5048126101399952
6C,total,auc_ratio_320_380_over_380_440,1.1292579270773118,0.0403329319457299,0.5450396208882419
6D,total,auc_ratio_320_380_over_380_440,1.1048989438198773,0.0676681947728011,0.9530731658141
6F,total,auc_ratio_320_380_over_380_440,1.261630226706057,0.0092986477970318,0.1207616597017118
6H,total,auc_ratio_320_380_over_380_440,1.282977279247633,0.0071571091371425,0.1555893290683165
6J,total,auc_ratio_320_380_over_380_440,1.4575494874293184,0.0,0.0
1D,total,second_derivative_384,13.49999999999966,0.0596860961313957,0.9947682688565952
1F,total,second_derivative_384,-16.499999999999773,0.0776043573092569,0.8255782692474143
1G,total,second_derivative_384,-4.749999999999943,0.0585900898138766,0.723334442146625
1I,total,second_derivative_384,6.249999999999716,0.0293800793384175,0.3970280991678045
1J,total,second_derivative_384,-2.750000000000057,0.0756142405748144,0.94517800718518
2B,total,second_derivative_384,1.7499999999998297,0.1010314923462272,1.2628936543278404
2E,total,second_derivative_384,-11.249999999999716,0.0568523429551786,0.7787992185640907
2G,total,second_derivative_384,1.750000000000398,0.0399507718481739,0.4932194055330111
2I,total,second_derivative_384,-0.5000000000001137,0.0558644951558357,0.6421206339751239
2J,total,second_derivative_384,-11.999999999999886,0.0650363374971796,1.0005590384181482
3A,total,second_derivative_384,-22.5,0.0418687829038322,0.9736926256705184
3C,total,second_derivative_384,11.499999999999773,0.079846843919444,1.0790114043168109
3D,total,second_derivative_384,-11.74999999999983,0.0866608305645461,1.255954066152843
3E,total,second_derivative_384,16.999999999999318,0.0440031109958431,0.5500388874480391
3H,total,second_derivative_384,-18.999999999999773,0.0470099178011421,0.9040368807911956
4A,total,second_derivative_384,13.49999999999966,0.0364031724519937,0.5200453207427675
4B,total,second_derivative_384,1.4999999999997726,0.0615464226440267,0.8668510231553068
4F,total,second_derivative_384,-2.750000000000057,0.0647046513747725,0.8088081421846567
4G,total,second_derivative_384,1.4999999999997726,0.0643152807093381,1.0373432372473892
4H,total,second_derivative_384,0.2500000000000568,0.0395614011827395,0.5651628740391357
5B,total,second_derivative_384,6.999999999999886,0.0489207182889221,0.7194223277782666
5D,total,second_derivative_384,8.499999999999659,0.0538815889892716,0.7483554026287729
5E,total,second_derivative_384,1.9999999999998863,0.0428854729746887,0.5428540882871999
5F,total,second_derivative_384,5.999999999999659,0.0664423982334705,0.9770940916686844
5I,total,second_derivative_384,-1.500000000000341,0.0292791313881197,0.5048126101399952
6C,total,second_derivative_384,-13.500000000000227,0.0403329319457299,0.5450396208882419
6D,total,second_derivative_384,-9.749999999999943,0.0676681947728011,0.9530731658141
6F,total,second_derivative_384,0.450000000000216,0.0092986477970318,0.1207616597017118
6H,total,second_derivative_384,-6.874999999999858,0.0071571091371425,0.1555893290683165
6J,total,second_derivative_384,-9.624999999999574,0.0,0.0
1D,total,second_derivative_400,-10.0,0.0596860961313957,0.9947682688565952
1F,total,second_derivative_400,-14.999999999999432,0.0776043573092569,0.8255782692474143
1G,total,second_derivative_400,0.0,0.0585900898138766,0.723334442146625
1I,total,second_derivative_400,9.499999999999886,0.0293800793384175,0.3970280991678045
1J,total,second_derivative_400,7.5,0.0756142405748144,0.94517800718518
2B,total,second_derivative_400,-16.249999999999716,0.1010314923462272,1.2628936543278404
2E,total,second_derivative_400,-18.749999999999716,0.0568523429551786,0.7787992185640907
2G,total,second_derivative_400,-2.249999999999943,0.0399507718481739,0.4932194055330111
2I,total,second_derivative_400,-15.0,0.0558644951558357,0.6421206339751239
2J,total,second_derivative_400,3.9999999999997726,0.0650363374971796,1.0005590384181482
3A,total,second_derivative_400,-7.750000000000057,0.0418687829038322,0.9736926256705184
