sample_id,standard_level,known_concentration_mg_ml,auc_corrected,predicted_concentration_mg_ml,residual_mg_ml,relative_residual
Standard 1,1,0.473,7831500.0,0.3277026229229419,0.1452973770770581,0.3071826153849008
Standard 2,2,0.378,10428655.0,0.44528812917673605,-0.06728812917673604,-0.17801092374797894
Standard 3,3,0.284,7809625.0,0.32671223807902544,-0.042712238079025466,-0.1503952045036108
Standard 4,4,0.189,5198824.0,0.2085089127815703,-0.019508912781570298,-0.1032217607490492
Standard 5,5,0.095,3137137.5,0.11516660135267479,-0.020166601352674784,-0.21228001423868195
Standard 6,6,0.047,1588693.5,0.045061208472523206,0.0019387915274767936,0.04125088356333603
Standard 7,7,0.023,1047532.5,0.02056028721452762,0.0024397127854723782,0.10607446893358166
