sample_id,standard_level,known_concentration_mg_ml,auc_corrected,predicted_concentration_mg_ml,residual_mg_ml,relative_residual
Standard 1,1,0.473,9370460.0,0.4168957538070795,0.05610424619292048,0.11861362831484246
Standard 2,2,0.378,9474935.0,0.4218177871074954,-0.0438177871074954,-0.1159200717129508
Standard 3,3,0.284,6747905.0,0.2933417644108386,-0.009341764410838616,-0.03289353665788245
Standard 4,4,0.189,4711905.0,0.19742159403853124,-0.008421594038531238,-0.044558698616567395
Standard 5,5,0.095,2416933.5,0.08930074075778975,0.00569925924221025,0.059992202549581576
Standard 6,6,0.047,1294752.0,0.03643244966316726,0.010567550336832737,0.2248414965283561
Standard 7,7,0.023,1238661.5,0.03378991021509854,-0.010789910215098543,-0.46912653109124103
