sample_name,sample_id,form,area,conc_mg_ml,conc_se_mg_ml,loq_flag,batch_id,intercept_mode,calibration_qc_pass,total_conc_observed,sum_parts_conc,predicted_total_conc,total_vs_parts_abs_diff,total_vs_parts_rel_diff,total_vs_parts_allowed_abs_diff,total_vs_parts_fail
Youssef Pig 29_09_25 1D,1D,oxidized,3466.0,0.02214567689442471,0.006490567340438742,False,Yousseff Scyt 29_09_25.txt,free,True,0.05968609613139571,0.151955379896451,0.07708223237313525,0.017396136241739538,0.22568282866444916,0.005012114708404554,True
Youssef Pig 29_09_25 1D,1D,reduced,7029.0,0.1298097030020263,0.0017730864031946887,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.05968609613139571,0.151955379896451,0.07708223237313525,0.017396136241739538,0.22568282866444916,0.005012114708404554,True
Youssef Pig 29_09_25 1D,1D,total,10495.0,0.05968609613139571,0.0038012726653747666,False,Yousseff Scyt 29_09_25.txt,free,True,0.05968609613139571,0.151955379896451,0.07708223237313525,0.017396136241739538,0.22568282866444916,0.005012114708404554,True
Youssef Pig 29_09_25 1F,1F,oxidized,6150.0,0.05177831927982599,0.005869336280310218,False,Yousseff Scyt 29_09_25.txt,free,True,0.07760435730925694,0.17749603110143447,0.08976882970988098,0.012164472400624043,0.135508866941206,0.005012114708404554,True
Youssef Pig 29_09_25 1F,1F,reduced,6830.0,0.12571771182160849,0.0017458364276964219,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.07760435730925694,0.17749603110143447,0.08976882970988098,0.012164472400624043,0.135508866941206,0.005012114708404554,True
Youssef Pig 29_09_25 1F,1F,total,12980.0,0.07760435730925694,0.0037370749110592805,False,Yousseff Scyt 29_09_25.txt,free,True,0.07760435730925694,0.17749603110143447,0.08976882970988098,0.012164472400624043,0.135508866941206,0.005012114708404554,True
Youssef Pig 29_09_25 1G,1G,oxidized,6746.0,0.058358444042008996,0.005786388424212035,False,Yousseff Scyt 29_09_25.txt,free,True,0.05859008981387663,0.11759672125914128,0.060015538823943455,0.0014254490100668246,0.023751332371578004,0.005012114708404554,False
Youssef Pig 29_09_25 1G,1G,reduced,3597.0,0.059238277217132276,0.0016162737189793273,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.05859008981387663,0.11759672125914128,0.060015538823943455,0.0014254490100668246,0.023751332371578004,0.005012114708404554,False
Youssef Pig 29_09_25 1G,1G,total,10343.0,0.05859008981387663,0.0038088106522644752,False,Yousseff Scyt 29_09_25.txt,free,True,0.05859008981387663,0.11759672125914128,0.060015538823943455,0.0014254490100668246,0.023751332371578004,0.005012114708404554,False
Youssef Pig 29_09_26 1I,1I,oxidized,3203.0,0.01924203123594463,0.006570580988798891,False,Yousseff Scyt 29_09_25.txt,free,True,0.029380079338417537,0.06803442141964854,0.035396865787759656,0.006016786449342119,0.1699807685069886,0.005012114708404554,True
Youssef Pig 29_09_26 1I,1I,reduced,3089.0,0.048792390183703904,0.0016541193511620553,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.029380079338417537,0.06803442141964854,0.035396865787759656,0.006016786449342119,0.1699807685069886,0.005012114708404554,True
Youssef Pig 29_09_26 1I,1I,total,6292.0,0.029380079338417537,0.004149122931709512,False,Yousseff Scyt 29_09_25.txt,free,True,0.029380079338417537,0.06803442141964854,0.035396865787759656,0.006016786449342119,0.1699807685069886,0.005012114708404554,True
Youssef Pig 29_09_27 1J,1J,oxidized,2237.0,0.008576929691869503,0.006889078555900724,False,Yousseff Scyt 29_09_25.txt,free,True,0.0756142405748144,0.20908143509729488,0.10545798731975954,0.029843746744945138,0.2829918103259055,0.005272899365987977,True
Youssef Pig 29_09_27 1J,1J,reduced,10467.0,0.2005045054054254,0.0024627584634051704,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0756142405748144,0.20908143509729488,0.10545798731975954,0.029843746744945138,0.2829918103259055,0.005272899365987977,True
Youssef Pig 29_09_27 1J,1J,total,12704.0,0.0756142405748144,0.003738615906534353,False,Yousseff Scyt 29_09_25.txt,free,True,0.0756142405748144,0.20908143509729488,0.10545798731975954,0.029843746744945138,0.2829918103259055,0.005272899365987977,True
Youssef Pig 29_09_28 2B,2B,oxidized,2945.0,0.016393587966409037,0.006651954304460242,False,Yousseff Scyt 29_09_25.txt,free,True,0.10103149234622723,0.27482341575995983,0.13811345996583743,0.037081967619610204,0.2684891655656334,0.006905672998291872,True
Youssef Pig 29_09_28 2B,2B,reduced,13284.0,0.2584298277935508,0.003200161301274719,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.10103149234622723,0.27482341575995983,0.13811345996583743,0.037081967619610204,0.2684891655656334,0.006905672998291872,True
Youssef Pig 29_09_28 2B,2B,total,16229.0,0.10103149234622723,0.003824054947752614,False,Yousseff Scyt 29_09_25.txt,free,True,0.10103149234622723,0.27482341575995983,0.13811345996583743,0.037081967619610204,0.2684891655656334,0.006905672998291872,True
Youssef Pig 29_09_29 2E,2E,oxidized,5813.0,0.04805767826496749,0.005925750191855111,False,Yousseff Scyt 29_09_25.txt,free,True,0.05685234295517862,0.1215253921496833,0.06196699516140661,0.00511465220622799,0.08253832855547956,0.005012114708404554,True
Youssef Pig 29_09_29 2E,2E,reduced,4289.0,0.0734677138847158,0.001589883734356224,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.05685234295517862,0.1215253921496833,0.06196699516140661,0.00511465220622799,0.08253832855547956,0.005012114708404554,True
