sample_id,sample_category,spectrum_state,auc_raw,n_points,wavelength_min,wavelength_max,auc_corrected,blank_baseline_auc,blank_mean_auc,blank_std_auc
5D,sample,oxidized,2794345.0,160.0,320.9,479.9,2794345.0,,94336.25,46617.07520989492
5D,sample,reduced,3367840.0,160.0,320.9,479.9,3367840.0,,94336.25,46617.07520989492
5D,sample,total,2947865.0,160.0,320.9,479.9,2947865.0,,94336.25,46617.07520989492
5E,sample,oxidized,2024270.0,160.0,320.9,479.9,2024270.0,,94336.25,46617.07520989492
5E,sample,reduced,3330025.0,160.0,320.9,479.9,3330025.0,,94336.25,46617.07520989492
5E,sample,total,2702455.0,160.0,320.9,479.9,2702455.0,,94336.25,46617.07520989492
5F,sample,oxidized,2218477.0,160.0,320.9,479.9,2218477.0,,94336.25,46617.07520989492
5F,sample,reduced,4821300.0,160.0,320.9,479.9,4821300.0,,94336.25,46617.07520989492
5F,sample,total,3576105.0,160.0,320.9,479.9,3576105.0,,94336.25,46617.07520989492
5I,sample,oxidized,1597598.0,160.0,320.9,479.9,1597598.0,,94336.25,46617.07520989492
5I,sample,reduced,2365792.0,160.0,320.9,479.9,2365792.0,,94336.25,46617.07520989492
5I,sample,total,1937195.5,160.0,320.9,479.9,1937195.5,,94336.25,46617.07520989492
6C,sample,oxidized,2198717.0,160.0,320.9,479.9,2198717.0,,94336.25,46617.07520989492
6C,sample,reduced,2401013.0,160.0,320.9,479.9,2401013.0,,94336.25,46617.07520989492
6C,sample,total,2582455.0,160.0,320.9,479.9,2582455.0,,94336.25,46617.07520989492
6D,sample,oxidized,4623430.0,160.0,320.9,479.9,4623430.0,,94336.25,46617.07520989492
6D,sample,reduced,2804490.0,160.0,320.9,479.9,2804490.0,,94336.25,46617.07520989492
6D,sample,total,3428000.0,160.0,320.9,479.9,3428000.0,,94336.25,46617.07520989492
6F,sample,oxidized,418953.0,160.0,320.9,479.9,418953.0,,94336.25,46617.07520989492
6F,sample,reduced,1908387.0,160.0,320.9,479.9,1908387.0,,94336.25,46617.07520989492
6F,sample,total,892391.5,160.0,320.9,479.9,892391.5,,94336.25,46617.07520989492
6H,sample,oxidized,317026.0,160.0,320.9,479.9,317026.0,,94336.25,46617.07520989492
6H,sample,reduced,1599686.5,160.0,320.9,479.9,1599686.5,,94336.25,46617.07520989492
6H,sample,total,761471.5,160.0,320.9,479.9,761471.5,,94336.25,46617.07520989492
6J,sample,oxidized,149075.0,160.0,320.9,479.9,149075.0,,94336.25,46617.07520989492
6J,sample,reduced,1122699.0,160.0,320.9,479.9,1122699.0,,94336.25,46617.07520989492
6J,sample,total,511780.0,160.0,320.9,479.9,511780.0,,94336.25,46617.07520989492
Standard 1,standard,oxidized,13252375.0,160.0,320.9,479.9,13252375.0,,94336.25,46617.07520989492
Standard 1,standard,reduced,9370460.0,160.0,320.9,479.9,9370460.0,,94336.25,46617.07520989492
Standard 1,standard,total,7831500.0,160.0,320.9,479.9,7831500.0,,94336.25,46617.07520989492
Standard 2,standard,oxidized,15134580.0,160.0,320.9,479.9,15134580.0,,94336.25,46617.07520989492
Standard 2,standard,reduced,9474935.0,160.0,320.9,479.9,9474935.0,,94336.25,46617.07520989492
Standard 2,standard,total,10428655.0,160.0,320.9,479.9,10428655.0,,94336.25,46617.07520989492
Standard 3,standard,oxidized,13155430.0,160.0,320.9,479.9,13155430.0,,94336.25,46617.07520989492
Standard 3,standard,reduced,6747905.0,160.0,320.9,479.9,6747905.0,,94336.25,46617.07520989492
Standard 3,standard,total,7809625.0,160.0,320.9,479.9,7809625.0,,94336.25,46617.07520989492
Standard 4,standard,oxidized,6719743.0,160.0,320.9,479.9,6719743.0,,94336.25,46617.07520989492
Standard 4,standard,reduced,4711905.0,160.0,320.9,479.9,4711905.0,,94336.25,46617.07520989492
Standard 4,standard,total,5198824.0,160.0,320.9,479.9,5198824.0,,94336.25,46617.07520989492
Standard 5,standard,oxidized,4951668.0,160.0,320.9,479.9,4951668.0,,94336.25,46617.07520989492
Standard 5,standard,reduced,2416933.5,160.0,320.9,479.9,2416933.5,,94336.25,46617.07520989492
Standard 5,standard,total,3137137.5,160.0,320.9,479.9,3137137.5,,94336.25,46617.07520989492
Standard 6,standard,oxidized,2745842.5,160.0,320.9,479.9,2745842.5,,94336.25,46617.07520989492
Standard 6,standard,reduced,1294752.0,160.0,320.9,479.9,1294752.0,,94336.25,46617.07520989492
Standard 6,standard,total,1588693.5,160.0,320.9,479.9,1588693.5,,94336.25,46617.07520989492
Standard 7,standard,oxidized,1956745.0,160.0,320.9,479.9,1956745.0,,94336.25,46617.07520989492
Standard 7,standard,reduced,1238661.5,160.0,320.9,479.9,1238661.5,,94336.25,46617.07520989492
Standard 7,standard,total,1047532.5,160.0,320.9,479.9,1047532.5,,94336.25,46617.07520989492
