metric,linear_coef,linear_se,linear_p,quadratic_coef,quadratic_se,quadratic_p,kendall_tau,kendall_p
Chrom Total (mg·gDW⁻¹),0.6323856856898611,0.13200910710703018,0.017301419172007948,-0.1487569814487683,0.035117628421498126,0.02408164740193023,0.2797809761867581,0.040471030660141
Chrom Oxidized,0.1713985254913551,0.20776840049927106,0.4698771963457675,-0.03910235378084044,0.06103685098083509,0.5673363215211691,0.1316795586749876,0.3362981357093635
Chrom Reduced,0.6532890670494199,0.2217511386933046,0.060216049815781894,-0.1266587530127481,0.09969958608894205,0.29351667927506747,0.25997347344787264,0.05692928761394599
DAD Total (mg·gDW⁻¹),0.9274465602773629,0.38333439467276803,0.09421793404990156,-0.2309662787907642,0.10801266574596226,0.12204603295215267,0.25502159776315125,0.06181931594003778
DAD Oxidized,0.35376234750753943,0.5354556858591943,0.5560230789031582,-0.07332976098524374,0.1548564879663451,0.6681591452040115,0.20055096523121602,0.14191774281168817
DAD Reduced,0.7701421715981193,0.23805166779644957,0.048026053768133535,-0.14547001346927274,0.10326935433972523,0.25369340277569674,0.2847328518714795,0.03705362665997034
