dose_id,sample_count,trim_fraction,source_sample_ids,dad_total_mg_per_gDW_mean_trimmed,dad_total_mg_per_gDW_std_trimmed,dad_total_mg_per_gDW_median,dad_total_mg_per_gDW_mad,dad_total_mg_per_gDW_n_used,dad_oxidized_mg_per_gDW_mean_trimmed,dad_oxidized_mg_per_gDW_std_trimmed,dad_oxidized_mg_per_gDW_median,dad_oxidized_mg_per_gDW_mad,dad_oxidized_mg_per_gDW_n_used,dad_reduced_mg_per_gDW_mean_trimmed,dad_reduced_mg_per_gDW_std_trimmed,dad_reduced_mg_per_gDW_median,dad_reduced_mg_per_gDW_mad,dad_reduced_mg_per_gDW_n_used,uva_mw_cm2,uvb_mw_cm2
dose_1,5,0.2,"6C,6D,6F,6H,6J",0.5202563375770172,0.6037973847005771,0.1765755199927233,0.227710441897443,3,-0.114204631160007,0.4561741290173972,-0.3044524785901091,0.271793241304943,3,1.0497396879306968,0.1802895667910866,1.104154667242737,0.2556442647683863,3,0.0,0.0
dose_2,5,0.2,"5B,5D,5E,5F,5I",1.4054024203995992,0.1714636782556086,1.4809625425406014,0.271826125545423,3,0.3770185585136998,0.0690119994540316,0.3659730977620088,0.0849140353042705,3,1.9411383648794909,0.3131195708110819,1.862448680826068,0.3644213485217216,3,0.647,0.246
dose_3,5,0.2,"4A,4B,4F,4G,4H",1.492350762046004,0.1654304374989013,1.5548722768855183,0.2501009364926483,3,0.7930144626982226,0.4486079503311511,0.8972831299621381,0.5631396756775827,3,1.7065991751503304,0.0746476813535484,1.6708304874186437,0.0971560726450078,3,1.095,0.338
dose_4,5,0.2,"3A,3C,3D,3E,3H",1.8439993034629107,0.1758921052111392,1.7794778301397156,0.2635628062355546,3,0.9507189731815124,0.6915156315612337,0.9356581591332256,0.7139838357304726,3,2.0255862997890524,0.152964690279637,1.9677996702741165,0.2312265649846252,3,1.692,0.584
dose_5,5,0.2,"2B,2E,2G,2I,2J",1.4396078592597448,0.2832181748195522,1.429085617908778,0.2988549013514634,3,0.3675817747447733,0.230460144318207,0.4727203472340024,0.3694182471194024,3,2.0926354579520665,0.7242996439060781,1.8178220937899336,1.0064659538618028,3,2.488,0.768
dose_6,5,0.2,"1D,1F,1G,1I,1J",1.5849377565495193,0.3244874163642878,1.6128122464575525,0.3653999654700957,3,0.7654051137655965,0.3082716033416444,0.8328480660453716,0.2729829194006554,3,1.9128785623277489,0.7521900784747159,2.0613229460092883,0.9637894485135934,3,3.185,0.707
