x,y
3.185,0.3690946149070785
3.185,0.5508331838279361
3.185,0.7204746178025802
3.185,0.2600274491343869
3.185,0.1072116211483687
2.488,0.2049198495801129
2.488,0.6583243597940752
2.488,0.3682697461172527
2.488,0.1276459667301961
2.488,0.0570473690302406
1.692,0.6878120568919264
1.692,1.0985069785074244
1.692,1.072664370241534
1.692,0.0731241459751473
1.692,0.0390370454433307
1.095,0.0586505169623707
1.095,0.7250736109792361
1.095,0.769364276537505
1.095,1.0335066376880315
1.095,0.1390882837100536
0.647,0.2441670153587955
0.647,0.5007872070616076
0.647,0.1929794718527047
0.647,0.3389852363693281
0.647,0.2230675589393805
0.0,0.270321948694305
0.0,0.978227101688044
0.0,0.0
0.0,0.0
0.0,0.0
