x,y
3.185,0.6398755137621212
3.185,0.4706855141529402
3.185,0.3684416870521509
3.185,0.0421353440733304
3.185,0.5902852520907059
2.488,0.9080008992333664
2.488,0.4239064634696167
2.488,0.138326650438537
2.488,0.2872278788806498
2.488,0.6456662833236742
1.692,0.6187998705760444
1.692,0.7241186492223368
1.692,0.901061311058369
1.692,0.195146132353565
1.692,0.5491441256967216
1.095,0.1651525656482935
1.095,0.5119582680608328
1.095,0.4539153870901826
1.095,0.6824504821529151
1.095,0.2102701189446616
0.647,0.3645295726837926
0.647,0.3934626475342988
0.647,0.1879613331927259
0.647,0.6222013365742104
0.647,0.1499198550455212
0.0,0.1901468657937678
0.0,0.5981804107196259
0.0,-0.2341310953927622
0.0,-0.1993034260261575
0.0,-0.354892755094474
