p_uva_mw_cm2,p_uvb_mw_cm2,predicted_total_mg_ml_pct_median,predicted_total_mg_ml_pct_mean,predicted_total_mg_ml_pct_std,predicted_total_mg_ml_pct_count,predicted_oxidized_mg_ml_pct_median,predicted_oxidized_mg_ml_pct_mean,predicted_oxidized_mg_ml_pct_std,predicted_oxidized_mg_ml_pct_count,predicted_reduced_mg_ml_pct_median,predicted_reduced_mg_ml_pct_mean,predicted_reduced_mg_ml_pct_std,predicted_reduced_mg_ml_pct_count,predicted_total_mg_per_gDW_pct_median,predicted_total_mg_per_gDW_pct_mean,predicted_total_mg_per_gDW_pct_std,predicted_total_mg_per_gDW_pct_count,predicted_oxidized_mg_per_gDW_pct_median,predicted_oxidized_mg_per_gDW_pct_mean,predicted_oxidized_mg_per_gDW_pct_std,predicted_oxidized_mg_per_gDW_pct_count,predicted_reduced_mg_per_gDW_pct_median,predicted_reduced_mg_per_gDW_pct_mean,predicted_reduced_mg_per_gDW_pct_std,predicted_reduced_mg_per_gDW_pct_count
0.0,0.0,0.0,247.2818224328852,430.4706130606951,5,-0.0,-143.95812913554164,245.2590443747567,5,0.0,4.245063770164959,47.57381921589775,5,0.0,275.76350833281,457.55883550240867,5,-0.0,-134.9062008115441,276.4742499186108,5,0.0,-8.29329457251416,37.83532432179792,5
0.647,0.246,663.2609586645895,638.2527839600166,195.87494764012027,5,-206.15680414129352,-219.72552232292475,55.7005165157489,5,105.24326510552649,117.74633688490391,64.22850840620522,5,738.7133973053751,721.4265434804508,202.71898410646708,5,-220.20696939528816,-231.6556112313052,56.73811827873987,5,68.67643058349073,86.57686583050454,53.55961815951443,5
1.095,0.338,711.9547931821178,690.6310381737103,132.3256820966188,5,-371.755042961881,-342.4274302203818,160.68634057839077,5,92.03713557953247,86.13055921048968,18.208186266994808,5,780.5706911975085,765.8786134222421,153.1894781643163,5,-394.7202578600681,-365.7158032953388,179.29731480982244,5,51.322141452428326,56.29749725933586,12.752560964989616,5
1.692,0.584,653.0944250384374,750.4075927563523,274.8312847360951,5,-271.62297478234206,-356.7878437789997,235.2417242455216,5,132.23710296346178,108.07953083669494,52.790928223272346,5,907.7715360617643,931.7444642050125,216.19662214861407,5,-407.32486181954266,-399.635590444471,248.70511129069692,5,78.21775595877784,97.94809802606888,54.694995079576834,5
2.488,0.768,667.2906210596303,758.1589920846084,369.9027115180438,5,-263.33493183956324,-235.56470090637745,106.64205319543079,5,142.05983558973637,170.07917031058247,169.57128361791925,5,709.3339427615283,764.1863100861719,365.6896802200895,5,-255.2690092795848,-235.48345358172583,110.80216889453519,5,64.63473349520375,109.04740383444403,128.27358055420916,5
3.185,0.707,736.0745113839127,813.6929662988207,412.94633888265986,5,-313.16053066860366,-353.4630848585101,137.81186125676908,5,136.9113668446146,167.5630000737375,175.53787544769267,5,813.383829493475,805.3824902202739,386.4166739478775,5,-373.55601435804135,-346.56791606136784,113.34179480332561,5,86.68788052644511,104.19255494417487,128.83519947135787,5
