metric,axis,pearson_r,spearman_r,kendall_tau,slope,slope_se,slope_ci_low,slope_ci_high,intercept,intercept_se,r_squared
chrom_total_mg_per_gDW,UVA,0.7168291753063367,0.8285714285714287,0.7333333333333333,0.09081285588375967,0.0752193286139814,-0.11802948084791542,0.2996551926154348,0.6568681822790484,0.14782825460155385,0.26707593256183537
chrom_total_mg_per_gDW,UVB,0.8340578950933768,0.7714285714285715,0.6,0.59666659628746,0.2620126148748102,-0.13079704572995698,1.324130238304877,0.5140015118543312,0.1424620007209512,0.5645471352678799
chrom_oxidized_mg_per_gDW,UVA,0.33181588474749624,0.3714285714285715,0.3333333333333333,0.04089470974359264,0.03774639234566144,-0.06390607651592853,0.14569549600311382,0.2204559851084693,0.0580129025773516,0.22686952500411584
chrom_oxidized_mg_per_gDW,UVB,0.41302717688067414,0.2571428571428572,0.2,0.15449901800275934,0.15882838612906633,-0.2864792772003368,0.5954773132058555,0.2127019077455076,0.06883202674701996,0.1913027366773875
chrom_reduced_mg_per_gDW,UVA,0.7482969035660609,0.7714285714285715,0.6,0.3901120178806487,0.08495614138558322,0.15423595499095824,0.6259880807703392,0.841430825114001,0.1262046904512965,0.8405469388346328
chrom_reduced_mg_per_gDW,UVB,0.9001039608790353,0.8857142857142858,0.7333333333333333,1.2175799120076989,0.179783735146345,0.7184202406020128,1.716739583413385,0.8095513200603595,0.09051598163858769,0.9197855817746812
dad_total_mg_per_gDW,UVA,0.644557638623968,0.7142857142857143,0.6,0.13402008031044563,0.1324495012208812,-0.2337186890139615,0.5017588496348527,1.3521443370034545,0.2111024635752745,0.2037989148339222
dad_total_mg_per_gDW,UVB,0.75222705428299,0.6,0.4666666666666666,0.6998118905710992,0.4690350902751995,-0.6024382898967117,2.00206207103891,1.2325697564100722,0.22499099467297623,0.35754710372461074
dad_oxidized_mg_per_gDW,UVA,0.5651359672533058,0.3714285714285715,0.3333333333333333,0.10351253462461617,0.07739539101903976,-0.11137151991975776,0.3183965891689901,0.30339004062332403,0.08778307613273782,0.30900750501549756
dad_oxidized_mg_per_gDW,UVB,0.6131338030021009,0.2571428571428572,0.2,0.37932183453020063,0.3353092983297247,-0.5516460254783483,1.3102896945387497,0.28073614273708963,0.116559167774431,0.24238809694439112
dad_reduced_mg_per_gDW,UVA,0.688803664244995,0.5428571428571429,0.4666666666666666,0.472364724912434,0.122184195720919,0.13312701279472644,0.8116024370301416,1.1891242249913234,0.14417468252817775,0.7888735907707766
dad_reduced_mg_per_gDW,UVB,0.8241185781224538,0.7142857142857143,0.6,1.537481154893153,0.30261326316089304,0.6972920416820148,2.3776702681042914,1.1716409406993415,0.1137510678615213,0.8658317344038178
