form,metric,median,mean,std,iqr,count
total,conc_mg_ml,0.0092986477970318,0.024891376730541058,0.02848471461808172,0.0331758228085874,5
total,amount_mg_per_gDW,0.1555893290683165,0.35489275509447404,0.3919386837931472,0.42427796118653005,5
oxidized,conc_mg_ml,0.0,0.01789158968464592,0.03009768864334742,0.0200038242033785,5
oxidized,amount_mg_per_gDW,0.0,0.2497098100764698,0.4237414518845024,0.270321948694305,5
reduced,conc_mg_ml,0.0412252909153935,0.04785061532911525,0.023622919423276482,0.028726189341928,5
reduced,amount_mg_per_gDW,0.7768485085199663,0.7106340894201812,0.3127141955161119,0.37251112886651405,5
