p_uva_mw_cm2,p_uvb_mw_cm2,predicted_total_mg_ml_delta_median,predicted_total_mg_ml_delta_mean,predicted_total_mg_ml_delta_std,predicted_total_mg_ml_delta_count,predicted_oxidized_mg_ml_delta_median,predicted_oxidized_mg_ml_delta_mean,predicted_oxidized_mg_ml_delta_std,predicted_oxidized_mg_ml_delta_count,predicted_reduced_mg_ml_delta_median,predicted_reduced_mg_ml_delta_mean,predicted_reduced_mg_ml_delta_std,predicted_reduced_mg_ml_delta_count,predicted_total_mg_per_gDW_delta_median,predicted_total_mg_per_gDW_delta_mean,predicted_total_mg_per_gDW_delta_std,predicted_total_mg_per_gDW_delta_count,predicted_oxidized_mg_per_gDW_delta_median,predicted_oxidized_mg_per_gDW_delta_mean,predicted_oxidized_mg_per_gDW_delta_std,predicted_oxidized_mg_per_gDW_delta_count,predicted_reduced_mg_per_gDW_delta_median,predicted_reduced_mg_per_gDW_delta_mean,predicted_reduced_mg_per_gDW_delta_std,predicted_reduced_mg_per_gDW_delta_count
0.0,0.0,0.0,0.033621215613242945,0.05852814070393956,5,0.0,0.0337478751059532,0.05749568744653288,5,0.0,0.002773525191477004,0.03108249797739501,5,0.0,0.4869308487888361,0.8079368930610276,5,0.0,0.41072527214249577,0.8417327065406234,5,0.0,-0.09157079909060366,0.4177604993655581,5
0.647,0.246,0.0901790494736455,0.0867788592551983,0.02663177496448831,5,0.048329011499255004,0.051509904508155,0.013057783440216174,5,0.0687610040289519,0.07692992360906953,0.04196388928891884,5,1.3043870225478782,1.2738626705161362,0.3579521003099604,5,0.6704255763521179,0.7052812501867758,0.1727406074050113,5,0.7582940135833312,0.9559425048199983,0.5913810236656671,5
1.095,0.338,0.0967996166194321,0.0939003717102507,0.017991416615943747,5,0.0871499430787502,0.08027471749823437,0.03766944309179244,5,0.060132739553945116,0.05627366010499578,0.011896373302456494,5,1.378296756892795,1.352354144163383,0.2704951176427808,5,1.2017356085522473,1.1134308277283869,0.5458751189840152,5,0.5666758201759068,0.6216114435298088,0.14080799708790823,5
1.692,0.584,0.0887967755332433,0.10202778039102933,0.03736692729965902,5,0.0636761416941671,0.08364120639438956,0.05514734303105721,5,0.08639750924232821,0.07061408678130192,0.034491111850367,5,1.6029023101469924,1.6452326326734146,0.3817503097656184,5,1.2401106377233346,1.2167004604364091,0.7571888757048161,5,0.8636450030313796,1.0814984958303306,0.6039173409193329,5
2.488,0.768,0.0907269350679011,0.10308168506366404,0.050293137997423035,5,0.0617331889773926,0.05522305793564893,0.024999926811311114,5,0.0928152211691992,0.11112173784460669,0.11078990854526435,5,1.2525100979160548,1.3493659507478628,0.6457184544083501,5,0.7771728258241115,0.7169352110991534,0.33733994953101126,5,0.7136674265471967,1.2040519989450489,1.4163387265286724,5
3.185,0.707,0.10007900949277321,0.11063225915174954,0.056145485178318716,5,0.0734137248141607,0.08286178845196518,0.03230701530882946,5,0.08945145361817079,0.10947779044693,0.11468819927612288,5,1.4362367264648292,1.4221083200367926,0.6823172513620509,5,1.1373005446354807,1.0551346104469232,0.3450719035572403,5,0.9571682787665514,1.1504469583355597,1.4225398680144874,5
