state,intercept,slope,residual_variance,assumed_measurement_variance
total,-0.07469379839645152,2.064157575169326,0.007973169096274789,0.0039865845481373945
oxidized,-0.10645107021669864,1.6977534397300966,0.012750122881686256,0.006375061440843128
reduced,0.026349351064286264,1.3739944004266422,0.05270462386012893,0.026352311930064466
