dose_id,kind,uva_mw_cm2,uvb_mw_cm2,mean_reflectance,median_reflectance,min_reflectance,max_reflectance,area_reflectance,std_reflectance,range_reflectance,mean_std,median_std,mean_mad,median_mad,samples,trim_fraction
dose_1,12Oclock,0.0,0.0,0.14142253657485382,0.1441913545131683,0.0916011234124501,0.160860593120257,18.52635229130585,0.013991831046356148,0.0692594697078069,0.008403188136725052,0.0084447496755014,0.004314140509103046,0.0034705847501754,3,0.2
dose_1,6Oclock,0.0,0.0,0.1671465750755244,0.1701603233814238,0.1130212768912315,0.1859238843123118,21.896201334893696,0.014086949857274244,0.0729026074210803,0.07226475733066003,0.0705103519078721,0.04451298841652067,0.0451214909553528,3,0.2
dose_2,12Oclock,0.647,0.246,0.09013064848330177,0.0934988061587015,0.0515474714338778,0.1075999786456425,11.807114951312531,0.013303227916119565,0.0560525072117647,0.01296148994231341,0.0136504745460041,0.012752142855684214,0.0125943124294281,3,0.2
dose_2,6Oclock,0.647,0.246,0.14815372634328342,0.1511886740724245,0.0939070532719293,0.1702306667963663,19.408138150970128,0.015098218061663529,0.076323613524437,0.045730601838164665,0.0455624670606105,0.04824166227388014,0.0473418682813644,3,0.2
dose_3,12Oclock,1.095,0.338,0.09994385326067902,0.103002925713857,0.0569349601864814,0.1217326447367668,13.092644777148951,0.015154958468264111,0.0647976845502854,0.02736214664833287,0.0283844794113502,0.006113357927280484,0.0050166770815849,3,0.2
dose_3,6Oclock,1.095,0.338,0.11196345408416272,0.1148250599702199,0.0659907050430774,0.1323726698756217,14.667212485025317,0.014012192132385566,0.06638196483254431,0.0365112309475942,0.0373658934791478,0.03312212899896022,0.0329682603478432,3,0.2
dose_4,12Oclock,1.692,0.584,0.10880318865104174,0.1132587517301241,0.061086078484853,0.1331416517496108,14.25321771328647,0.017903844340272885,0.07205557326475778,0.003732643319288059,0.0038989448376925,0.0035312393580683725,0.0025157555937767,3,0.2
dose_4,6Oclock,1.692,0.584,0.12461754299567546,0.1288969491918881,0.0677431387205918,0.1482454488674799,16.324898132433486,0.01766245823453072,0.08050231014688809,0.019042735021987677,0.019742571131168,0.021990788290063804,0.0220760256052017,3,0.2
dose_5,12Oclock,2.488,0.768,0.1802611488081116,0.1849070241053899,0.1161103943983713,0.2039079467455545,23.61421049386262,0.018465364394222597,0.08779755234718321,0.02044823897983197,0.0225731874327081,0.027538474677628193,0.0294929593801497,3,0.2
dose_5,6Oclock,2.488,0.768,0.1486951729078935,0.1527941475311914,0.0865230460961659,0.17340516547362,19.47906765093405,0.017932891787017364,0.0868821193774541,0.012021596522115591,0.0123887227312978,0.014644338941301054,0.0145375877618788,3,0.2
dose_6,12Oclock,3.185,0.707,0.16921807270089476,0.173967570066452,0.1107361068328221,0.193224882086118,22.167567523817212,0.018201274809353404,0.08248877525329588,0.0050720464676898514,0.0051133996024745,0.007762676488807139,0.0077946037054062,3,0.2
dose_6,6Oclock,3.185,0.707,0.1729716443037258,0.1769739836454391,0.1014136771361033,0.2037326693534851,22.65928540378808,0.02140380885946415,0.1023189922173818,0.03601556224640158,0.0357021988382579,0.01997369163818937,0.0211447030305861,3,0.2
