metric,assay,fraction,axis,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p
chrom_total,chromatogram,total,UVA,0.7168291753063365,0.10892544627833886,0.8285714285714287,0.04156268221574334,0.7333333333333333,0.05555555555555555
chrom_oxidized,chromatogram,oxidized,UVA,0.3318158847474963,0.5205429328776632,0.3714285714285715,0.46847813411078715,0.3333333333333333,0.46944444444444444
chrom_reduced,chromatogram,reduced,UVA,0.7482969035660607,0.08705841766947137,0.7714285714285715,0.07239650145772594,0.6,0.1361111111111111
dad_total,dad,total,UVA,0.6445576386239676,0.16705574375744164,0.7142857142857143,0.1107871720116617,0.6,0.1361111111111111
dad_oxidized,dad,oxidized,UVA,0.5651359672533058,0.24254223350876505,0.3714285714285715,0.46847813411078715,0.3333333333333333,0.46944444444444444
dad_reduced,dad,reduced,UVA,0.6888036642449951,0.1301961209088733,0.5428571428571429,0.26570262390670557,0.4666666666666666,0.2722222222222222
