fraction,lambda_ratio,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p,deming_slope,deming_intercept,deming_slope_ci_low,deming_slope_ci_high,deming_intercept_ci_low,deming_intercept_ci_high
total,0.5207305012425956,0.9851657664201683,0.0003284495590294375,0.942857142857143,0.004804664723032055,0.8666666666666666,0.016666666666666666,1.8808911114491544,0.028402020251979687,1.096704828989426,2.127316079369135,-0.14023237396749777,0.6600479925437398
oxidized,0.3251482163756296,0.9571833804536032,0.002710647303811594,1.0,0.0,0.9999999999999999,0.002777777777777778,2.055601915416495,-0.2104182286739097,1.4305256415353298,2.9269697766787424,-0.3798780174028045,0.06223434827019403
reduced,0.8058547045298307,0.9482541843158291,0.003947166101472671,0.942857142857143,0.004804664723032055,0.8666666666666666,0.016666666666666666,1.1007563961418898,0.3238729333701582,0.3696686745936249,1.4103701532342072,0.017222190221964695,1.4351667847243887
