metric,label,mean_range_min,mean_range_max,final_minus_initial,num_increases,num_decreases,delta_sequence
chrom_total,Chromatogram Total,0.27379686988609,0.9855803035928415,0.5575667029736497,4,1,0.000->0.647: increase (0.396); 0.647->1.095: increase (0.077); 1.095->1.692: increase (0.239); 1.692->2.488: decrease (-0.178); 2.488->3.185: increase (0.024)
chrom_oxidized,Chromatogram Oxidized,0.0901073162314349,0.6112001910362025,0.3032110997250322,4,1,0.000->0.647: increase (0.179); 0.647->1.095: increase (0.276); 1.095->1.692: increase (0.067); 1.692->2.488: decrease (-0.378); 2.488->3.185: increase (0.160)
chrom_reduced,Chromatogram Reduced,0.7400488048032302,1.789889368479746,0.6707026191928235,3,2,0.000->0.647: increase (0.601); 0.647->1.095: decrease (-0.159); 1.095->1.692: increase (0.336); 1.692->2.488: increase (0.272); 2.488->3.185: decrease (-0.379)
dad_total,DAD Total,0.5202563375770172,1.8439993034629107,1.0646814189725022,4,1,0.000->0.647: increase (0.885); 0.647->1.095: increase (0.087); 1.095->1.692: increase (0.352); 1.692->2.488: decrease (-0.404); 2.488->3.185: increase (0.145)
dad_oxidized,DAD Oxidized,-0.114204631160007,0.9507189731815124,0.8796097449256035,4,1,0.000->0.647: increase (0.491); 0.647->1.095: increase (0.416); 1.095->1.692: increase (0.158); 1.692->2.488: decrease (-0.583); 2.488->3.185: increase (0.398)
dad_reduced,DAD Reduced,1.0497396879306968,2.0926354579520665,0.8631388743970521,3,2,0.000->0.647: increase (0.891); 0.647->1.095: decrease (-0.235); 1.095->1.692: increase (0.319); 1.692->2.488: increase (0.067); 2.488->3.185: decrease (-0.180)
