form,measurement,anova_F,anova_p,eta_squared,kruskal_H,kruskal_p,n_groups
total,delta_conc_mg_ml,2.3901437923016777,0.06793147380249898,0.33241947050638254,5.903225806451616,0.3157496734894753,6
total,delta_amount_mg_per_gDW,2.726073084831213,0.043521344102877196,0.3622171953559165,7.725161290322575,0.17204716838142448,6
oxidized,delta_conc_mg_ml,0.6345084563476034,0.6753778660317906,0.11675544558339708,3.2583834335337434,0.6602189335463785,6
oxidized,delta_amount_mg_per_gDW,0.8291955057924976,0.5415540034480999,0.14730266606289436,4.100423068358937,0.5350500468029471,6
reduced,delta_conc_mg_ml,2.286733557992411,0.07803915982522636,0.32267807718175534,8.716129032258053,0.1209367435178312,6
reduced,delta_amount_mg_per_gDW,1.9089055569800908,0.13016486491092794,0.2845330793178365,8.778064516129035,0.11825064187381315,6
