form,measurement,anova_F,anova_p,eta_squared,kruskal_H,kruskal_p,n_groups
total,z_conc_mg_ml,2.390143792301679,0.0679314738024988,0.3324194705063827,5.903225806451616,0.3157496734894753,6
total,z_amount_mg_per_gDW,2.7260730848312127,0.04352134410287729,0.36221719535591645,7.725161290322575,0.17204716838142448,6
oxidized,z_conc_mg_ml,0.6345084563476034,0.6753778660317906,0.11675544558339702,3.2583834335337434,0.6602189335463785,6
oxidized,z_amount_mg_per_gDW,0.8291955057924973,0.5415540034480999,0.14730266606289424,4.100423068358937,0.5350500468029471,6
reduced,z_conc_mg_ml,2.2867335579924113,0.07803915982522625,0.32267807718175545,8.716129032258053,0.1209367435178312,6
reduced,z_amount_mg_per_gDW,1.9089055569800901,0.13016486491092794,0.2845330793178365,8.778064516129035,0.11825064187381315,6
