form,measurement,anova_F,anova_p,eta_squared,kruskal_H,kruskal_p,n_groups
total,predicted_total_mg_ml_zscore,2.043490670474725,0.1084069631924763,0.2986035590420365,5.320000000000007,0.37808728164653316,6
total,predicted_total_mg_per_gDW_zscore,2.5146089175743622,0.05754230024014825,0.34377899706061726,7.043870967741924,0.21739796342468606,6
oxidized,predicted_oxidized_mg_ml_zscore,1.3448125092019172,0.27971942428138086,0.2188533022265606,5.092903225806452,0.4046477768781985,6
oxidized,predicted_oxidized_mg_per_gDW_zscore,1.5475210523283975,0.21283286705880836,0.2437992784223592,5.263225806451615,0.3846075032029192,6
reduced,predicted_reduced_mg_ml_zscore,1.6272965588834596,0.19098347250331504,0.25318523020916145,9.325161290322583,0.09677654864092419,6
reduced,predicted_reduced_mg_per_gDW_zscore,1.4748057111339192,0.2348475203946659,0.23503607586081052,9.392258064516128,0.09440460461531511,6
