form,measurement,p_uva_mw_cm2,n,mean,median,std,iqr
total,z_conc_mg_ml,0.0,5,6.661338147750939e-17,-0.547406886204547,1.0000000000000002,1.1646886146975062
total,z_conc_mg_ml,0.647,5,0.8211591921481107,0.8435872319790607,0.4812911003701164,0.38603567429117647
total,z_conc_mg_ml,1.095,5,0.9975458530307936,1.2868321275094503,0.49450961086122813,0.8690232589125246
total,z_conc_mg_ml,1.692,5,1.2282559602760235,0.7765056230038719,0.7566268007810076,1.258349729115691
total,z_conc_mg_ml,2.488,5,1.3640898899971021,1.122039193762859,0.7981870352473687,0.3219917230809022
total,z_conc_mg_ml,3.185,5,1.238685251935563,1.2215224855637985,0.6782996519531421,0.5976591652468617
total,z_amount_mg_per_gDW,0.0,5,-4.4408920985006264e-17,-0.5085066472574663,1.0,1.08251106290506
total,z_amount_mg_per_gDW,0.647,5,0.8767058808297137,0.9300678594822748,0.4811953286639396,0.5243200603542106
total,z_amount_mg_per_gDW,1.095,5,1.0326854202352502,1.15812856923749,0.550565587633987,0.7697330260857654
total,z_amount_mg_per_gDW,1.692,5,1.5248661142538054,1.578818055383957,0.666382520844125,0.446433411043349
total,z_amount_mg_per_gDW,2.488,5,1.226277616737693,1.081563216386523,0.7735435016339945,0.9145267340648537
total,z_amount_mg_per_gDW,3.185,5,1.0774253210716964,1.200916198415753,0.6055593956610406,0.5660159974299369
oxidized,z_conc_mg_ml,0.0,5,4.4408920985006264e-17,-0.5944506203336165,1.0,0.6646299136262745
oxidized,z_conc_mg_ml,0.647,5,0.09593015908055069,-0.0428017132980961,0.30995201336852424,0.25934276512877663
oxidized,z_conc_mg_ml,1.095,5,0.6744075856832067,1.1159872471570662,0.9635016794410012,1.7214930647091091
oxidized,z_conc_mg_ml,1.692,5,0.6864393292422223,0.3882134904166305,1.2396022773377857,2.264755632114646
oxidized,z_conc_mg_ml,2.488,5,0.13048473966772267,-0.0497713208475238,0.5814086771280673,0.6221291791490827
oxidized,z_conc_mg_ml,3.185,5,0.46942775943998305,0.1413426545868356,0.7230689384802504,1.0810228130615238
oxidized,z_amount_mg_per_gDW,0.0,5,0.0,-0.5892975751273262,1.0,0.6379407714116806
oxidized,z_amount_mg_per_gDW,0.647,5,0.11867493165053897,-0.0130806053857225,0.2945771378987547,0.27355755948451044
oxidized,z_amount_mg_per_gDW,1.095,5,0.6971865834345914,1.121825110072862,1.0031120987433284,1.4874069790067255
oxidized,z_amount_mg_per_gDW,1.692,5,0.8130408479114453,1.033890465204873,1.2215587273457142,2.358844573315021
oxidized,z_amount_mg_per_gDW,2.488,5,0.07913232945415334,-0.1057011540814872,0.5651834223634882,0.5678551822507147
oxidized,z_amount_mg_per_gDW,3.185,5,0.3582809437510043,0.2817397361048099,0.5679976574333245,0.686281064550685
reduced,z_conc_mg_ml,0.0,5,-3.552713678800501e-16,-0.2804617115695524,0.9999999999999999,1.2160304502255164
reduced,z_conc_mg_ml,0.647,5,2.2005189535934915,1.9853416255364051,1.355733148698193,0.9348723718984986
reduced,z_conc_mg_ml,1.095,5,1.434341428691201,1.381243463434395,0.609532273176182,1.049772886880441
reduced,z_conc_mg_ml,1.692,5,2.1991262200785586,2.636444543767393,1.1680664675687336,1.6207936280028
reduced,z_conc_mg_ml,2.488,5,3.9854810446689717,3.8785887473978953,3.4462817133775077,4.484601918082937
reduced,z_conc_mg_ml,3.185,5,2.7499523252343976,3.296252046466704,2.6021223385416503,2.987413389530407
reduced,z_amount_mg_per_gDW,0.0,5,0.0,0.2117410084006677,1.0,1.191219120231212
reduced,z_amount_mg_per_gDW,0.647,5,2.3503175522714113,1.606984266352501,1.4550566056495482,1.3108605952469214
reduced,z_amount_mg_per_gDW,1.095,5,1.446767251360706,1.3522944219674795,0.6829666761505379,1.016081405758063
reduced,z_amount_mg_per_gDW,1.692,5,2.919879715873735,2.573349764548935,1.743626365404975,0.48974201608599355
reduced,z_amount_mg_per_gDW,2.488,5,3.695357283434955,2.854100333513243,3.4872865735009584,5.608003321929565
reduced,z_amount_mg_per_gDW,3.185,5,2.458952501477399,2.0043489734537787,2.6633873015186196,4.579767451563988
