sample_id,sample_category,spectrum_state,auc_raw,n_points,wavelength_min,wavelength_max,auc_corrected,blank_baseline_auc,blank_mean_auc,blank_std_auc
6J,sample,total,511780.0,160.0,320.9,479.9,450407.0,61373.0,94336.25,46617.07520989492
Standard 1,standard,oxidized,13252375.0,160.0,320.9,479.9,13191002.0,61373.0,94336.25,46617.07520989492
Standard 1,standard,reduced,9370460.0,160.0,320.9,479.9,9309087.0,61373.0,94336.25,46617.07520989492
Standard 1,standard,total,7831500.0,160.0,320.9,479.9,7770127.0,61373.0,94336.25,46617.07520989492
Standard 2,standard,oxidized,15134580.0,160.0,320.9,479.9,15073207.0,61373.0,94336.25,46617.07520989492
Standard 2,standard,reduced,9474935.0,160.0,320.9,479.9,9413562.0,61373.0,94336.25,46617.07520989492
Standard 2,standard,total,10428655.0,160.0,320.9,479.9,10367282.0,61373.0,94336.25,46617.07520989492
Standard 3,standard,oxidized,13155430.0,160.0,320.9,479.9,13094057.0,61373.0,94336.25,46617.07520989492
Standard 3,standard,reduced,6747905.0,160.0,320.9,479.9,6686532.0,61373.0,94336.25,46617.07520989492
Standard 3,standard,total,7809625.0,160.0,320.9,479.9,7748252.0,61373.0,94336.25,46617.07520989492
Standard 4,standard,oxidized,6719743.0,160.0,320.9,479.9,6658370.0,61373.0,94336.25,46617.07520989492
Standard 4,standard,reduced,4711905.0,160.0,320.9,479.9,4650532.0,61373.0,94336.25,46617.07520989492
Standard 4,standard,total,5198824.0,160.0,320.9,479.9,5137451.0,61373.0,94336.25,46617.07520989492
Standard 5,standard,oxidized,4951668.0,160.0,320.9,479.9,4890295.0,61373.0,94336.25,46617.07520989492
Standard 5,standard,reduced,2416933.5,160.0,320.9,479.9,2355560.5,61373.0,94336.25,46617.07520989492
Standard 5,standard,total,3137137.5,160.0,320.9,479.9,3075764.5,61373.0,94336.25,46617.07520989492
Standard 6,standard,oxidized,2745842.5,160.0,320.9,479.9,2684469.5,61373.0,94336.25,46617.07520989492
Standard 6,standard,reduced,1294752.0,160.0,320.9,479.9,1233379.0,61373.0,94336.25,46617.07520989492
Standard 6,standard,total,1588693.5,160.0,320.9,479.9,1527320.5,61373.0,94336.25,46617.07520989492
Standard 7,standard,oxidized,1956745.0,160.0,320.9,479.9,1895372.0,61373.0,94336.25,46617.07520989492
Standard 7,standard,reduced,1238661.5,160.0,320.9,479.9,1177288.5,61373.0,94336.25,46617.07520989492
Standard 7,standard,total,1047532.5,160.0,320.9,479.9,986159.5,61373.0,94336.25,46617.07520989492
