sample_id,standard_level,known_concentration_mg_ml,auc_corrected,predicted_concentration_mg_ml,residual_mg_ml,relative_residual
Standard 1,1,0.473,9309087.0,0.4169051231206883,0.056094876879311695,0.11859382004082811
Standard 2,2,0.378,9413562.0,0.42182738227937633,-0.043827382279376326,-0.11594545576554584
Standard 3,3,0.284,6686532.0,0.293345464179189,-0.009345464179189023,-0.032906564011228955
Standard 4,4,0.189,4650532.0,0.1974208922998986,-0.008420892299898591,-0.04455498571374916
Standard 5,5,0.095,2355560.5,0.08929507765713189,0.00570492234286811,0.06005181413545379
Standard 6,6,0.047,1233379.0,0.03642436058524587,0.010575639414754132,0.22501360456923683
Standard 7,7,0.023,1177288.5,0.03378169987847016,-0.010781699878470163,-0.46876955993348535
