sample_id,standard_level,known_concentration_mg_ml,auc_corrected,predicted_concentration_mg_ml,residual_mg_ml,relative_residual
Standard 1,1,0.473,13191002.0,0.3623973921935283,0.11060260780647169,0.2338321518107224
Standard 2,2,0.378,15073207.0,0.41898638426738055,-0.04098638426738055,-0.10842958800894326
Standard 3,3,0.284,13094057.0,0.35948271507993035,-0.07548271507993037,-0.26578420802792385
Standard 4,4,0.189,6658370.0,0.1659920800891646,0.023007919910835395,0.12173502598325606
Standard 5,5,0.095,4890295.0,0.11283443670761138,-0.01783443670761138,-0.18773091271169876
Standard 6,6,0.047,2684469.5,0.04651570854792565,0.000484291452074348,0.010304073448390383
Standard 7,7,0.023,1895372.0,0.022791283114459764,0.00020871688554023604,0.009074647197401567
