sample_id,standard_level,known_concentration_mg_ml,auc_corrected,predicted_concentration_mg_ml,residual_mg_ml,relative_residual
Standard 1,1,0.473,7770127.0,0.32766798659061935,0.14533201340938062,0.3072558423031303
Standard 2,2,0.378,10367282.0,0.4452180742030992,-0.06721807420309922,-0.17782559312989213
Standard 3,3,0.284,7748252.0,0.32667790006651004,-0.042677900066510066,-0.15027429600883827
Standard 4,4,0.189,5137451.0,0.208510179507379,-0.01951017950737899,-0.10322846300200524
Standard 5,5,0.095,3075764.5,0.11519598428049918,-0.02019598428049918,-0.21258930821578084
Standard 6,6,0.047,1527320.5,0.04511170826962621,0.0018882917303737895,0.04017641979518701
Standard 7,7,0.023,986159.5,0.020618167082266492,0.0023818329177335076,0.10355795294493511
