p_uva_mw_cm2,p_uvb_mw_cm2,predicted_total_mg_ml_zscore_median,predicted_total_mg_ml_zscore_mean,predicted_total_mg_ml_zscore_std,predicted_total_mg_ml_zscore_count,predicted_oxidized_mg_ml_zscore_median,predicted_oxidized_mg_ml_zscore_mean,predicted_oxidized_mg_ml_zscore_std,predicted_oxidized_mg_ml_zscore_count,predicted_reduced_mg_ml_zscore_median,predicted_reduced_mg_ml_zscore_mean,predicted_reduced_mg_ml_zscore_std,predicted_reduced_mg_ml_zscore_count,predicted_total_mg_per_gDW_zscore_median,predicted_total_mg_per_gDW_zscore_mean,predicted_total_mg_per_gDW_zscore_std,predicted_total_mg_per_gDW_zscore_count,predicted_oxidized_mg_per_gDW_zscore_median,predicted_oxidized_mg_per_gDW_zscore_mean,predicted_oxidized_mg_per_gDW_zscore_std,predicted_oxidized_mg_per_gDW_zscore_count,predicted_reduced_mg_per_gDW_zscore_median,predicted_reduced_mg_per_gDW_zscore_mean,predicted_reduced_mg_per_gDW_zscore_std,predicted_reduced_mg_per_gDW_zscore_count
0.0,0.0,-0.5744453045811496,2.2204460492503132e-17,1.0,5,-0.586963589875092,-6.661338147750939e-17,1.0,5,-0.0892310905479369,8.881784197001253e-17,1.0,5,-0.6026842603312775,1.9984014443252818e-16,0.9999999999999999,5,-0.487952136053387,-6.661338147750939e-17,1.0,5,0.21919448877926417,-1.3322676295501878e-16,1.0,5
0.647,0.246,0.9663357349158984,0.9082407710651447,0.4550251322556656,5,0.2536040012889884,0.30892802905816696,0.2271089192969304,5,2.1229786256389307,2.3857927529352163,1.3500809786728662,5,1.0117822082142442,0.9740015940426417,0.44304462809439055,5,0.3085306085787562,0.34994004124522426,0.2052202629917346,5,2.0343350172278187,2.5074493770986797,1.4155982304784247,5
1.095,0.338,1.0794534090152053,1.0299174956184851,0.30739771329747256,5,0.9288012778777073,0.809223168877631,0.6551698877732782,5,1.8453862493350135,1.7212302226296992,0.3827354323680235,5,1.1032617965084428,1.0711520946836837,0.3347973337595179,5,0.939740526016469,0.8348321861863844,0.6485136133386905,5,1.5756554778782874,1.7071557595883378,0.33705435842246845,5
1.692,0.584,0.9427184813387803,1.1687807600760143,0.6384437785009601,5,0.5205306331200087,0.8677751933105208,0.959156164231283,5,2.69038814421117,2.182596831154385,1.1096634471093967,5,1.3812606788261386,1.4336537838940917,0.4725001581735949,5,0.9853310429025268,0.9575191530887908,0.8995597650193875,5,2.2865153684291464,2.8079947642308065,1.445606613924692,5
2.488,0.768,0.9756967976058452,1.1867875626150834,0.859298405733189,5,0.48673761658148457,0.37350945407281566,0.4348139472992538,5,2.896861637156889,3.4858270635753525,3.5643823937779127,5,0.9475730786679036,1.0674535466396666,0.7992189240943297,5,0.4353490732083491,0.3637852450989196,0.4007684944516656,5,1.9275116409059605,3.1013530479863007,3.3903126999312496,5
3.185,0.707,1.1354844538066275,1.315795147637809,0.9592904285534485,5,0.6898926070776015,0.8542190819387038,0.5619032790741534,5,2.7886410059362343,3.432937254047423,3.689799943348529,5,1.1749752806551035,1.1574882633529122,0.844518002856582,5,0.8631900208310598,0.7655747879310036,0.40995425373860844,5,2.5103835318318692,2.9730378035079505,3.4051564716502916,5
