chrom_metric,dad_metric,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p,deming_lambda,deming_slope,deming_intercept,deming_slope_ci_low,deming_slope_ci_high,deming_intercept_ci_low,deming_intercept_ci_high,n_doses
chrom_total_mg_per_gDW,dad_total_mg_per_gDW,0.9737126386158581,0.0010274554360164949,0.6571428571428573,0.15617492711370237,0.6,0.1361111111111111,0.2431966764597353,1.8237963475334535,0.08083773289532203,0.8970673260670899,8.416763895282454,-4.999218255590142,0.8477945245890851,6
chrom_oxidized_mg_per_gDW,dad_oxidized_mg_per_gDW,0.8772880960666027,0.021663406157103427,0.942857142857143,0.004804664723032055,0.8666666666666666,0.016666666666666666,0.4001527707841372,2.5529560840350807,-0.44670799385026516,-46.53050184369547,20.183944577045025,-6.981365037621851,16.667314796436763,6
chrom_reduced_mg_per_gDW,dad_reduced_mg_per_gDW,0.9132875005100533,0.010952588213934888,0.8285714285714287,0.04156268221574334,0.7333333333333333,0.05555555555555555,0.514381234875807,1.174022995548696,0.27502348609795524,0.36264956862225867,7.5492644644925235,-8.42051453883051,1.1604603374661222,6
