metric,coef_intercept,coef_linear,coef_quadratic,p_linear,p_quadratic,r_squared,n_doses
chrom_total_mg_per_gDW,0.36619210082280795,0.5486383754935743,-0.13149844651617154,0.022911796662052897,0.032192492356029945,0.878794561479404,6
chrom_oxidized_mg_per_gDW,0.24742213853676567,0.08300158538679445,-0.014836262092534868,0.7575172957905498,0.8432519170639174,0.15889358350118987,6
chrom_reduced_mg_per_gDW,0.7436847592777803,0.5569762236086064,-0.09352474635782168,0.1069616127923394,0.3714453309410177,0.7694607072745401,6
dad_total_mg_per_gDW,0.8633280558888882,0.910188269373221,-0.2266064244200304,0.06635379762895033,0.09058226962852722,0.7460777981516586,6
dad_oxidized_mg_per_gDW,0.2241530180280045,0.2808634265438965,-0.04964689619211673,0.6286980515040921,0.7590474487151937,0.3709239971606475,6
dad_reduced_mg_per_gDW,1.1150038148392538,0.6844440117926871,-0.10853669434676959,0.09039162272216195,0.4070703616166309,0.7895818198748855,6
