treatment,kind,mean_reflectance,median_reflectance,min_reflectance,max_reflectance,area_reflectance,std_reflectance,range_reflectance,mean_std,median_std,mean_mad,median_mad,samples,trim_fraction_x,sample_count,trim_fraction_y,dad_total_mg_per_gDW_mean_trimmed,dad_total_mg_per_gDW_std_trimmed,dad_total_mg_per_gDW_median,dad_total_mg_per_gDW_mad,dad_total_mg_per_gDW_n_used,dad_oxidized_mg_per_gDW_mean_trimmed,dad_oxidized_mg_per_gDW_std_trimmed,dad_oxidized_mg_per_gDW_median,dad_oxidized_mg_per_gDW_mad,dad_oxidized_mg_per_gDW_n_used,dad_reduced_mg_per_gDW_mean_trimmed,dad_reduced_mg_per_gDW_std_trimmed,dad_reduced_mg_per_gDW_median,dad_reduced_mg_per_gDW_mad,dad_reduced_mg_per_gDW_n_used
treatment_1,Sigma,0.1768408815991557,0.178729881842931,0.1060748919844627,0.2071021944284438,28.471381937464066,0.02154711642273814,0.1010273024439811,0.01910827006639387,0.0186950027916428,0.01025098432672072,0.0107646923935398,3,0.2,5,0.2,1.5849377565495193,0.3244874163642878,1.6128122464575525,0.3653999654700957,3,0.7654051137655965,0.3082716033416444,0.8328480660453716,0.2729829194006554,3,1.9128785623277489,0.7521900784747159,2.0613229460092883,0.9637894485135934,3
treatment_2,Sigma,0.16942851399659611,0.1713599761327107,0.1013167202472686,0.1955132658282915,27.277990753451974,0.019421348667732603,0.09419654558102292,0.012206295582027309,0.0132170630221408,0.01630834815197676,0.0184977758932466,3,0.2,5,0.2,1.4396078592597448,0.2832181748195522,1.429085617908778,0.2988549013514634,3,0.3675817747447733,0.230460144318207,0.4727203472340024,0.3694182471194024,3,2.0926354579520665,0.7242996439060781,1.8178220937899336,1.0064659538618028,3
treatment_3,Sigma,0.1216035707705262,0.1241244499882062,0.0644146086027224,0.1464630489548047,19.57817489405472,0.019041546045195493,0.0820484403520823,0.009905089464237913,0.0101454904125497,0.011712319396610708,0.0115672450431228,3,0.2,5,0.2,1.8439993034629107,0.1758921052111392,1.7794778301397156,0.2635628062355546,3,0.9507189731815124,0.6915156315612337,0.9356581591332256,0.7139838357304726,3,2.0255862997890524,0.152964690279637,1.9677996702741165,0.2312265649846252,3
treatment_4,Sigma,0.11016931765814984,0.1113548390567302,0.0614628326147794,0.1320515237748622,17.737260142962125,0.015858300325184593,0.0705886911600828,0.023327720706805246,0.0235606354714563,0.016812494038195628,0.0165852535333623,3,0.2,5,0.2,1.492350762046004,0.1654304374989013,1.5548722768855183,0.2501009364926483,3,0.7930144626982226,0.4486079503311511,0.8972831299621381,0.5631396756775827,3,1.7065991751503304,0.0746476813535484,1.6708304874186437,0.0971560726450078,3
treatment_5,Sigma,0.12318910167824398,0.1246914726992447,0.0727272623529036,0.1448142727216084,19.833445370197282,0.015362425905355094,0.07208701036870481,0.023820485949719573,0.023819339564719,0.025137552285649456,0.0251919647703429,3,0.2,5,0.2,1.4054024203995992,0.1714636782556086,1.4809625425406014,0.271826125545423,3,0.3770185585136998,0.0690119994540316,0.3659730977620088,0.0849140353042705,3,1.9411383648794909,0.3131195708110819,1.862448680826068,0.3644213485217216,3
treatment_6,Sigma,0.15806387800638466,0.159505055596431,0.1023112001518408,0.1782391915718714,25.44828435902793,0.014926486553002776,0.07592799142003061,0.036190810091215,0.0354888712255817,0.022191139028272203,0.0223867571824103,3,0.2,5,0.2,0.5202563375770172,0.6037973847005771,0.1765755199927233,0.227710441897443,3,-0.114204631160007,0.4561741290173972,-0.3044524785901091,0.271793241304943,3,1.0497396879306968,0.1802895667910866,1.104154667242737,0.2556442647683863,3
