dataset,measurement,term,coef,pvalue,r_squared,adj_r_squared
dad,predicted_total_mg_ml,Intercept,0.049765578225771614,0.011104169760797967,0.2919443759069744,0.21024565005008677
dad,predicted_total_mg_ml,p_uva_mw_cm2,0.05285656514810707,0.24089305723052082,0.2919443759069744,0.21024565005008677
dad,predicted_total_mg_ml,p_uvb_mw_cm2,0.08044233537395189,0.38838384985868135,0.2919443759069744,0.21024565005008677
dad,predicted_total_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,-0.06706842386741628,0.1465809631762844,0.2919443759069744,0.21024565005008677
dad,predicted_total_mg_per_gDW,Intercept,0.6697828469752154,0.00794538913794727,0.3350363629838371,0.25830978948197214
dad,predicted_total_mg_per_gDW,p_uva_mw_cm2,0.7348637782256172,0.20371621772382387,0.3350363629838371,0.25830978948197214
dad,predicted_total_mg_per_gDW,p_uvb_mw_cm2,1.7455934925785006,0.14891466748756377,0.3350363629838371,0.25830978948197214
dad,predicted_total_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,-1.1858137898316548,0.04878333265307049,0.3350363629838371,0.25830978948197214
dad,predicted_oxidized_mg_ml,Intercept,0.005799804166181681,0.7329999881345787,0.19119445286342363,0.09787073588612627
dad,predicted_oxidized_mg_ml,p_uva_mw_cm2,0.06999591716941274,0.09733840499869287,0.19119445286342363,0.09787073588612627
dad,predicted_oxidized_mg_ml,p_uvb_mw_cm2,0.0023907609304142166,0.977707398097857,0.19119445286342363,0.09787073588612627
dad,predicted_oxidized_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,-0.07605114719830848,0.07778522179707731,0.19119445286342363,0.09787073588612627
dad,predicted_oxidized_mg_per_gDW,Intercept,0.0345360441043622,0.8839957351331605,0.20735562355756776,0.11589665704497942
dad,predicted_oxidized_mg_per_gDW,p_uva_mw_cm2,0.9712574738045288,0.09870132407130182,0.20735562355756776,0.11589665704497942
dad,predicted_oxidized_mg_per_gDW,p_uvb_mw_cm2,0.41442982010187746,0.7284506040469352,0.20735562355756776,0.11589665704497942
dad,predicted_oxidized_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,-1.1894944211226472,0.049444092416049225,0.20735562355756776,0.11589665704497942
dad,predicted_reduced_mg_ml,Intercept,0.07798819064922952,0.01443710275960874,0.21195013074204128,0.12102129967381525
dad,predicted_reduced_mg_ml,p_uva_mw_cm2,0.02813210942662412,0.6991266580901994,0.21195013074204128,0.12102129967381525
dad,predicted_reduced_mg_ml,p_uvb_mw_cm2,0.0915077051039328,0.5468105182431043,0.21195013074204128,0.12102129967381525
dad,predicted_reduced_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,-0.025841750314887973,0.7271160950221733,0.21195013074204128,0.12102129967381525
dad,predicted_reduced_mg_per_gDW,Intercept,1.106599727020754,0.007649065597626611,0.20233656573754732,0.11029847716880281
dad,predicted_reduced_mg_per_gDW,p_uva_mw_cm2,0.3512630761557275,0.7075452538747713,0.20233656573754732,0.11029847716880281
dad,predicted_reduced_mg_per_gDW,p_uvb_mw_cm2,2.0223763036090183,0.3039069122227397,0.20233656573754732,0.11029847716880281
dad,predicted_reduced_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,-0.6402810928150979,0.5028977044133134,0.20233656573754732,0.11029847716880281
