dataset,variant,metric,n_obs,shapiro_p,jarque_bera,jarque_bera_p,max_abs_studentized_resid,max_leverage,leverage_threshold,n_high_leverage,max_cooks_distance
chromatogram,raw,conc_mg_ml,90,3.701644663044174e-05,61.699798276968586,3.999991209259479e-14,4.261315482021197,0.06666666666666679,0.13333333333333333,0,0.03602938420101893
chromatogram,raw,amount_mg_per_gDW,90,3.2441527691766304e-05,40.20217955040559,1.8629775884761215e-09,3.7430664140122136,0.06666666666666679,0.13333333333333333,0,0.027798702737512396
chromatogram,delta,delta_conc_mg_ml,90,2.707545914014977e-06,118.57046985951047,1.78957379489325e-26,4.681540060599092,0.06666666666666679,0.13333333333333333,0,0.043485748688480444
chromatogram,delta,delta_amount_mg_per_gDW,90,3.6361990252241005e-05,45.94770390943353,1.0533746630394127e-10,3.9806742085319224,0.06666666666666679,0.13333333333333333,0,0.03144001419537945
chromatogram,zscore,z_conc_mg_ml,90,1.2723129079980231e-07,178.16791503326778,2.04799468126208e-39,4.825729841556821,0.06666666666666679,0.13333333333333333,0,0.04620569147557939
chromatogram,zscore,z_amount_mg_per_gDW,90,3.7399539195279276e-08,117.56283169213077,2.9617981641541174e-26,4.249803945092262,0.06666666666666679,0.13333333333333333,0,0.03583498724547966
dad,raw,predicted_total_mg_per_gDW,30,0.5902207253900987,1.1837244548021726,0.5532959618526125,2.2843391527956785,0.2000000000000001,0.4,0,0.03623753725691165
dad,delta,predicted_total_mg_per_gDW_delta,30,0.5902207253900991,1.183724454802173,0.5532959618526125,2.284339152795679,0.2000000000000001,0.4,0,0.03623753725691167
