dataset,variant,measurement,term,component,n_components,x_weight,x_loading,y_loading,r_squared,cv_r_squared
chromatogram,raw,conc_mg_ml,p_uva_mw_cm2,1,2,0.5683837453456434,0.5843426289196635,0.16614579645379263,0.09850710552435693,0.07159498100867001
chromatogram,raw,conc_mg_ml,p_uva_mw_cm2,2,2,-0.19458440916406147,-0.2543399630919867,0.4824276681644456,0.09850710552435693,0.07159498100867001
chromatogram,raw,conc_mg_ml,p_uvb_mw_cm2,1,2,0.6345073011586522,0.5752750089500849,0.16614579645379263,0.09850710552435693,0.07159498100867001
chromatogram,raw,conc_mg_ml,p_uvb_mw_cm2,2,2,0.7222109572627401,0.742792133783859,0.4824276681644456,0.09850710552435693,0.07159498100867001
chromatogram,raw,conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,1,2,0.5237751452705839,0.5782117715802065,0.16614579645379263,0.09850710552435693,0.07159498100867001
chromatogram,raw,conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,2,2,-0.6637380815652355,-0.6238255752799794,0.4824276681644456,0.09850710552435693,0.07159498100867001
chromatogram,raw,amount_mg_per_gDW,p_uva_mw_cm2,1,2,0.5546373162860956,0.5879700556816377,0.14071745721609474,0.09607873478928275,0.06354076599278069
chromatogram,raw,amount_mg_per_gDW,p_uva_mw_cm2,2,2,0.2324747349738617,0.28949099985618526,-0.694163577055066,0.09607873478928275,0.06354076599278069
chromatogram,raw,amount_mg_per_gDW,p_uvb_mw_cm2,1,2,0.6784474392852559,0.5806239936922806,0.14071745721609474,0.09607873478928275,0.06354076599278069
chromatogram,raw,amount_mg_per_gDW,p_uvb_mw_cm2,2,2,-0.6822565441920768,-0.7017002805735726,-0.694163577055066,0.09607873478928275,0.06354076599278069
chromatogram,raw,amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,1,2,0.4817535879578225,0.5811415037692567,0.14071745721609474,0.09607873478928275,0.06354076599278069
chromatogram,raw,amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,2,2,0.6931677325914054,0.654907934550339,-0.694163577055066,0.09607873478928275,0.06354076599278069
chromatogram,delta,delta_conc_mg_ml,p_uva_mw_cm2,1,2,0.5683837453456435,0.5843426289196632,0.20439125031289224,0.14907796062485235,0.11178783948340953
chromatogram,delta,delta_conc_mg_ml,p_uva_mw_cm2,2,2,-0.19458440916406136,-0.2543399630919859,0.5934787180070916,0.14907796062485235,0.11178783948340953
chromatogram,delta,delta_conc_mg_ml,p_uvb_mw_cm2,1,2,0.6345073011586523,0.5752750089500845,0.20439125031289224,0.14907796062485235,0.11178783948340953
chromatogram,delta,delta_conc_mg_ml,p_uvb_mw_cm2,2,2,0.7222109572627414,0.7427921337838578,0.5934787180070916,0.14907796062485235,0.11178783948340953
chromatogram,delta,delta_conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,1,2,0.5237751452705841,0.5782117715802064,0.20439125031289224,0.14907796062485235,0.11178783948340953
chromatogram,delta,delta_conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,2,2,-0.663738081565236,-0.6238255752799783,0.5934787180070916,0.14907796062485235,0.11178783948340953
chromatogram,delta,delta_amount_mg_per_gDW,p_uva_mw_cm2,1,2,0.5546373162860957,0.5879700556816376,0.1819502188541714,0.16063363327783808,0.10131990632462562
chromatogram,delta,delta_amount_mg_per_gDW,p_uva_mw_cm2,2,2,0.23247473497386226,0.28949099985618515,-0.897566067952779,0.16063363327783808,0.10131990632462562
chromatogram,delta,delta_amount_mg_per_gDW,p_uvb_mw_cm2,1,2,0.6784474392852559,0.5806239936922805,0.1819502188541714,0.16063363327783808,0.10131990632462562
chromatogram,delta,delta_amount_mg_per_gDW,p_uvb_mw_cm2,2,2,-0.6822565441920773,-0.7017002805735723,-0.897566067952779,0.16063363327783808,0.10131990632462562
chromatogram,delta,delta_amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,1,2,0.4817535879578225,0.5811415037692564,0.1819502188541714,0.16063363327783808,0.10131990632462562
chromatogram,delta,delta_amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,2,2,0.6931677325914061,0.6549079345503377,-0.897566067952779,0.16063363327783808,0.10131990632462562
chromatogram,zscore,z_conc_mg_ml,p_uva_mw_cm2,1,2,0.5668218694262072,0.5842193942408339,0.18852414269154963,0.12523458817161137,0.09556286813900006
chromatogram,zscore,z_conc_mg_ml,p_uva_mw_cm2,2,2,-0.2193396181060843,-0.25773682250757296,0.5277087652327249,0.12523458817161137,0.09556286813900006
chromatogram,zscore,z_conc_mg_ml,p_uvb_mw_cm2,1,2,0.6332070790801329,0.5750968591651751,0.18852414269154963,0.12523458817161137,0.09556286813900006
chromatogram,zscore,z_conc_mg_ml,p_uvb_mw_cm2,2,2,0.7326256798031484,0.7446953355560081,0.5277087652327249,0.12523458817161137,0.09556286813900006
chromatogram,zscore,z_conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,1,2,0.5270310838489368,0.5781371872717864,0.18852414269154963,0.12523458817161137,0.09556286813900006
chromatogram,zscore,z_conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,2,2,-0.6443211506865519,-0.6175261775861245,0.5277087652327249,0.12523458817161137,0.09556286813900006
chromatogram,zscore,z_amount_mg_per_gDW,p_uva_mw_cm2,1,2,0.5531417319858222,0.5874806856723973,0.16245786398929504,0.1237337607336898,0.08456090313003639
chromatogram,zscore,z_amount_mg_per_gDW,p_uva_mw_cm2,2,2,-0.2504918169567399,-0.2900652381480129,0.7663890122700531,0.1237337607336898,0.08456090313003639
chromatogram,zscore,z_amount_mg_per_gDW,p_uvb_mw_cm2,1,2,0.6750751500648867,0.5799879392312149,0.16245786398929504,0.1237337607336898,0.08456090313003639
chromatogram,zscore,z_amount_mg_per_gDW,p_uvb_mw_cm2,2,2,0.693631158027611,0.7061474093803903,0.7663890122700531,0.1237337607336898,0.08456090313003639
chromatogram,zscore,z_amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,1,2,0.4881677642989086,0.5807521340819697,0.16245786398929504,0.1237337607336898,0.08456090313003639
chromatogram,zscore,z_amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,2,2,-0.6753737233939294,-0.6478415890314309,0.7663890122700531,0.1237337607336898,0.08456090313003639
