dataset,measurement,term,sum_sq,df,F,PR(>F),eta_squared
dad,predicted_total_mg_ml,C(p_uva_mw_cm2),0.02035845862714699,5.0,2.117641851844925,0.15856682089299598,0.12340709215544472
dad,predicted_total_mg_ml,C(p_uvb_mw_cm2),0.00023757029399398648,5.0,0.024711536690008792,0.8764030079475268,0.0014400824591513073
dad,predicted_total_mg_ml,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),0.09822794216495097,25.0,2.0434906704747275,0.10840696319247575,0.5954293953681583
dad,predicted_total_mg_ml,Residual,0.046145953020889585,24.0,,,0.2797234300172457
dad,predicted_total_mg_per_gDW,C(p_uva_mw_cm2),0.1673848024225342,5.0,0.10671071126085464,0.7467522710922221,0.006045445606417773
dad,predicted_total_mg_per_gDW,C(p_uvb_mw_cm2),0.26927370004739404,5.0,0.1716666485847647,0.6823146276049608,0.009725372216087295
dad,predicted_total_mg_per_gDW,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),19.72188695327962,25.0,2.514608917574364,0.05754230024014814,0.7122964158418795
dad,predicted_total_mg_per_gDW,Residual,7.529207163319674,24.0,,,0.27193276633561536
dad,predicted_oxidized_mg_ml,C(p_uva_mw_cm2),0.00683913106764572,5.0,0.8544271670980302,0.3645040992036751,0.06725104720347247
dad,predicted_oxidized_mg_ml,C(p_uvb_mw_cm2),0.002613812388175981,5.0,0.32654913205570846,0.5730114423385116,0.025702332439544034
dad,predicted_oxidized_mg_ml,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),0.053821726216169104,25.0,1.3448125092019176,0.27971942428137997,0.5292437613104479
dad,predicted_oxidized_mg_ml,Residual,0.03842086299315088,24.0,,,0.3778028590465356
dad,predicted_oxidized_mg_per_gDW,C(p_uva_mw_cm2),0.5621344084316997,5.0,0.366103861907924,0.5508145154554321,0.02644340316002341
dad,predicted_oxidized_mg_per_gDW,C(p_uvb_mw_cm2),1.4450121648279222,5.0,0.9410997194129405,0.34167104068617693,0.06797491609219942
dad,predicted_oxidized_mg_per_gDW,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),11.880710937501815,25.0,1.5475210523283975,0.21283286705880836,0.5588813359149353
dad,predicted_oxidized_mg_per_gDW,Residual,7.370163063591976,24.0,,,0.3467003448328419
dad,predicted_reduced_mg_ml,C(p_uva_mw_cm2),0.05470449147074515,5.0,2.2263212114199584,0.14870577270533786,0.14538184915112376
dad,predicted_reduced_mg_ml,C(p_uvb_mw_cm2),0.003705605324837082,5.0,0.1508078681299396,0.7011880054051659,0.009847962020397652
dad,predicted_reduced_mg_ml,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),0.19992719439850196,25.0,1.627296558883462,0.1909834725033143,0.5313235611155291
dad,predicted_reduced_mg_ml,Residual,0.11794414827144416,24.0,,,0.31344662771294934
dad,predicted_reduced_mg_per_gDW,C(p_uva_mw_cm2),3.9739359132527827,5.0,0.9656347774086845,0.33557443434664924,0.06982973217383011
dad,predicted_reduced_mg_per_gDW,C(p_uvb_mw_cm2),2.834477313995624,5.0,0.6887554127489082,0.4147672529456107,0.04980724299781162
dad,predicted_reduced_mg_per_gDW,C(p_uva_mw_cm2):C(p_uvb_mw_cm2),30.346791135013877,25.0,1.4748057111339197,0.2348475203946659,0.5332517543189641
dad,predicted_reduced_mg_per_gDW,Residual,19.753733844178143,24.0,,,0.3471112705093942
