dataset,variant,measurement,term,coef_median,coef_mean,coef_std,coef_p2_5,coef_p97_5,alpha
chromatogram,delta,delta_conc_mg_ml,p_uva_mw_cm2,0.005116998225571006,0.004300392645343329,0.015334410018550603,-0.027731219726612914,0.032456022615016365,1.0
chromatogram,delta,delta_conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,-0.012099788466111597,-0.011758178716222256,0.013234876070164119,-0.03516000573243207,0.01597013302719221,1.0
chromatogram,delta,delta_conc_mg_ml,p_uvb_mw_cm2,0.0680501629045815,0.06825924921081303,0.040543659669208386,-0.00815809824449289,0.1466548830992815,1.0
chromatogram,delta,delta_amount_mg_per_gDW,p_uva_mw_cm2,0.10269596596037014,0.09250572645948633,0.2987140721878302,-0.5117542940099028,0.6319337864376614,0.1
chromatogram,delta,delta_amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,-0.37538688116865954,-0.36125661193520925,0.26646638017512675,-0.847995431395711,0.19870082696765184,0.1
chromatogram,delta,delta_amount_mg_per_gDW,p_uvb_mw_cm2,1.372029672867164,1.3470708822642807,0.6480727518148215,0.05488877100637524,2.6231287181762766,0.1
chromatogram,zscore,z_conc_mg_ml,p_uva_mw_cm2,0.13558128116345042,0.12520189155929892,0.6595990409494337,-1.2572861736733507,1.3504703489538674,1.0
chromatogram,zscore,z_conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,-0.419448096340018,-0.39401779332998027,0.5555111327700353,-1.4193974932195828,0.7640730572372622,1.0
chromatogram,zscore,z_conc_mg_ml,p_uvb_mw_cm2,2.6630018895105367,2.6298785548396437,1.7174320678767896,-0.7735705051227905,6.007906078727447,1.0
chromatogram,zscore,z_amount_mg_per_gDW,p_uva_mw_cm2,0.10429539131566909,0.07283280242231434,0.6580780356898587,-1.2571663400655593,1.309252701616205,1.0
chromatogram,zscore,z_amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,-0.7301667325040198,-0.7101997449840363,0.5744562821018523,-1.7482323270463072,0.48448683974347273,1.0
chromatogram,zscore,z_amount_mg_per_gDW,p_uvb_mw_cm2,3.60413866279385,3.620465581032965,1.7680382219905784,0.17419558906054966,7.143506535448213,1.0
dad,raw,predicted_total_mg_per_gDW,p_uva_mw_cm2,0.6070341685453406,0.6000174853404134,0.5044895100814063,-0.38648341145437537,1.5607067107956925,0.1
dad,raw,predicted_total_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,-1.0419704772393423,-1.0307272760814663,0.5064615512366499,-1.9627031767344576,0.02814439701639912,0.1
dad,raw,predicted_total_mg_per_gDW,p_uvb_mw_cm2,1.7726623096358782,1.794086674836727,1.2275431714119232,-0.6460546292081597,4.17896236759962,0.1
