p_uva_mw_cm2,p_uvb_mw_cm2,uva_uvb_ratio_median,uva_uvb_ratio_mean,uva_uvb_ratio_std,uva_uvb_ratio_count,predicted_total_mg_ml_ratio_median,predicted_total_mg_ml_ratio_mean,predicted_total_mg_ml_ratio_std,predicted_total_mg_ml_ratio_count,predicted_oxidized_mg_ml_ratio_median,predicted_oxidized_mg_ml_ratio_mean,predicted_oxidized_mg_ml_ratio_std,predicted_oxidized_mg_ml_ratio_count,predicted_reduced_mg_ml_ratio_median,predicted_reduced_mg_ml_ratio_mean,predicted_reduced_mg_ml_ratio_std,predicted_reduced_mg_ml_ratio_count,predicted_total_mg_per_gDW_ratio_median,predicted_total_mg_per_gDW_ratio_mean,predicted_total_mg_per_gDW_ratio_std,predicted_total_mg_per_gDW_ratio_count,predicted_oxidized_mg_per_gDW_ratio_median,predicted_oxidized_mg_per_gDW_ratio_mean,predicted_oxidized_mg_per_gDW_ratio_std,predicted_oxidized_mg_per_gDW_ratio_count,predicted_reduced_mg_per_gDW_ratio_median,predicted_reduced_mg_per_gDW_ratio_mean,predicted_reduced_mg_per_gDW_ratio_std,predicted_reduced_mg_per_gDW_ratio_count
0.0,0.0,,,,0,1.0,3.472818224328852,4.304706130606951,5,1.0,-0.4395812913554165,2.4525904437475665,5,1.0,1.0424506377016496,0.4757381921589774,5,1.0,3.7576350833280996,4.575588355024087,5,1.0,-0.3490620081154408,2.764742499186108,5,1.0,0.9170670542748584,0.3783532432179791,5
0.647,0.246,2.6300813008130084,2.6300813008130084,0.0,5,7.632609586645894,7.382527839600165,1.958749476401203,5,-1.061568041412935,-1.1972552232292473,0.5570051651574889,5,2.052432651055265,2.1774633688490392,0.6422850840620525,5,8.387133973053752,8.214265434804508,2.0271898410646707,5,-1.202069693952882,-1.316556112313052,0.5673811827873987,5,1.686764305834907,1.8657686583050457,0.5355961815951443,5
1.095,0.338,3.2396449704142007,3.2396449704142007,0.0,5,8.11954793182118,7.906310381737103,1.3232568209661881,5,-2.7175504296188095,-2.424274302203818,1.606863405783908,5,1.9203713557953248,1.8613055921048969,0.18208186266994802,5,8.805706911975085,8.65878613422242,1.5318947816431625,5,-2.947202578600681,-2.6571580329533875,1.7929731480982245,5,1.5132214145242833,1.5629749725933586,0.12752560964989612,5
1.692,0.584,2.897260273972603,2.897260273972603,0.0,5,7.530944250384374,8.504075927563523,2.7483128473609497,5,-1.7162297478234203,-2.567878437789997,2.3524172424552163,5,2.322371029634618,2.0807953083669495,0.5279092822327235,5,10.077715360617644,10.317444642050123,2.16196622148614,5,-3.073248618195427,-2.99635590444471,2.487051112906969,5,1.7821775595877785,1.9794809802606887,0.5469499507957684,5
2.488,0.768,3.239583333333333,3.239583333333333,0.0,5,7.672906210596303,8.581589920846081,3.6990271151804377,5,-1.6333493183956327,-1.3556470090637747,1.066420531954308,5,2.4205983558973636,2.700791703105825,1.6957128361791927,5,8.093339427615282,8.641863100861718,3.6568968022008956,5,-1.552690092795848,-1.3548345358172587,1.108021688945352,5,1.6463473349520374,2.0904740383444405,1.2827358055420919,5
3.185,0.707,4.504950495049505,4.504950495049505,0.0,5,8.360745113839128,9.136929662988207,4.129463388826599,5,-2.1316053066860365,-2.5346308485851012,1.3781186125676907,5,2.369113668446146,2.6756300007373746,1.7553787544769264,5,9.13383829493475,9.053824902202738,3.864166739478775,5,-2.7355601435804138,-2.4656791606136785,1.1334179480332565,5,1.8668788052644512,2.0419255494417485,1.2883519947135784,5
