metric,pearson_r,spearman_r,deming_slope,deming_intercept,deming_slope_ci_low,deming_slope_ci_high,deming_intercept_ci_low,deming_intercept_ci_high,valid_bootstrap_draws
total,0.9851657664201684,0.942857142857143,1.8756578022015633,0.03216568688033772,1.0274543831073928,2.1216356547046145,-0.11145023495956764,0.7040712555111655,4998
oxidized,0.957183380453603,1.0,2.0332377289718537,-0.20243612834589975,1.4353861926955718,2.9216248900871293,-0.3751891087445592,0.08064839050918682,5000
reduced,0.9482541843158291,0.942857142857143,1.0944327697898197,0.3322846048657129,0.3707508243795325,1.4090017892182367,0.019675362415507935,1.4287336785940703,4999
