chrom_metric,dad_metric,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p,deming_lambda,deming_slope,deming_intercept,deming_slope_ci_low,deming_slope_ci_high,deming_intercept_ci_low,deming_intercept_ci_high
chrom_total,dad_total,0.9851657664201683,0.0003284495590294375,0.942857142857143,0.004804664723032055,0.8666666666666666,0.016666666666666666,0.22937795119010268,1.8847261202205194,0.02564397675609964,1.1189934616147688,2.1859113039553923,-0.2549296270581097,0.6462088422406805
chrom_oxidized,dad_oxidized,0.9571833804536032,0.002710647303811594,1.0,0.0,0.9999999999999999,0.002777777777777778,0.4255698357072112,2.051855744597323,-0.20908116633996288,1.4296448420837737,2.9170550975907656,-0.3756087245915787,0.05848137483078281
chrom_reduced,dad_reduced,0.9482541843158294,0.003947166101472636,0.942857142857143,0.004804664723032055,0.8666666666666666,0.016666666666666666,1.1477357449493917,1.0903391881121371,0.33772987667586873,0.37493761154936783,1.4080746343890196,0.021045482300981345,1.4297107285354722
