metric,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p,wls_slope,wls_intercept,wls_slope_se,wls_intercept_se,wls_slope_ci_low,wls_slope_ci_high,wls_intercept_ci_low,wls_intercept_ci_high,wls_r_squared,wls_slope_p,df
chrom_total,0.7592128903349873,0.07998741871738066,0.8285714285714287,0.04156268221574334,0.7333333333333333,0.05555555555555555,0.07057488141457684,0.5020753144441676,0.0376013844731112,0.1459339890159253,-0.033823298454453254,0.17497306128360693,0.09689760495891253,0.9072530239294228,0.46828575484230994,0.13375615260117696,4
chrom_oxidized,0.3995212035771583,0.4326034209855082,0.3714285714285715,0.46847813411078715,0.3333333333333333,0.46944444444444444,0.025928619470986566,0.2138789273788313,0.026146400344209907,0.09427598125072593,-0.04666542578323707,0.09852266472521021,-0.04787315930246616,0.47563101406012875,0.19733689271222998,0.37749184692472765,4
chrom_reduced,0.7625218183507394,0.0778974338190942,0.7714285714285715,0.07239650145772594,0.6,0.1361111111111111,0.18588375329374165,0.6591673032503782,0.06139506605944628,0.17752983032779243,0.01542372264969652,0.35634378393778676,0.16626547481018317,1.1520691316905731,0.6962047158277269,0.0388694767637136,4
dad_total,0.6860277981796967,0.13239235409387273,0.7142857142857143,0.1107871720116617,0.6,0.1361111111111111,0.1249624014308581,1.0965062641029657,0.08779319550801146,0.31029486919576177,-0.11879058650703367,0.36871538936874987,0.23498959335640168,1.9580229348495297,0.33620850922722967,0.22772036599583675,4
dad_oxidized,0.6182433251670472,0.19078898072329747,0.3714285714285715,0.46847813411078715,0.3333333333333333,0.46944444444444444,0.07889443989990373,0.21711488266467258,0.04706659095575071,0.16051531154976498,-0.05178336617753733,0.2095722459773448,-0.22854706839697211,0.6627768337263172,0.4126067162606005,0.16900081602616165,4
dad_reduced,0.7071261276973867,0.11610201403068174,0.5428571428571429,0.26570262390670557,0.4666666666666666,0.2722222222222222,0.250212367285437,0.9578593183067584,0.0801438829576452,0.2363470774076065,0.0276972757361377,0.4727274588347363,0.30165463211060417,1.6140640045029127,0.7090301876545118,0.035456688106013545,4
