,coef_bias,coef_linear,coef_quadratic
chrom_total,-0.10483207004022568,0.4584156434293587,-0.05145807064937296
chrom_oxidized,-0.24216499696924718,0.38071771201301763,-0.04835819266439371
chrom_reduced,0.2970821701017242,0.540941074362766,-0.05671506623224799
dad_total,-0.14074813391390625,0.8731313503930722,-0.1011507155546844
dad_oxidized,-0.6734105237147316,0.6872969689345275,-0.07970592256695491
dad_reduced,0.5876082352045848,0.6640829953647281,-0.07409686555887258
