x,y
3.185,0.1193848048306087
3.185,0.3011233737514663
3.185,0.4707648077261103
3.185,0.0103176390579171
3.185,-0.1424981889281011
2.488,-0.0447899604963569
2.488,0.4086145497176054
2.488,0.1185599360407829
2.488,-0.1220638433462737
2.488,-0.1926624410462292
1.692,0.4381022468154565
1.692,0.8487971684309545
1.692,0.8229545601650641
1.692,-0.1765856641013225
1.692,-0.2106727646331391
1.095,-0.1910592931140991
1.095,0.4753638009027662
1.095,0.5196544664610352
1.095,0.7837968276115617
1.095,-0.1106215263664162
0.647,-0.0055427947176742
0.647,0.2510773969851378
0.647,-0.0567303382237651
0.647,0.0892754262928582
0.647,-0.0266422511370893
0.0,0.0206121386178351
0.0,0.7285172916115743
0.0,-0.2497098100764698
0.0,-0.2497098100764698
0.0,-0.2497098100764698
