dataset,measurement,term,coef,pvalue,r_squared,adj_r_squared
dad,predicted_total_mg_ml_zscore,Intercept,0.04353542659040027,0.8897426355578694,0.2919443759069743,0.21024565005008666
dad,predicted_total_mg_ml_zscore,p_uva_mw_cm2,0.9030966046824945,0.24089305723052026,0.2919443759069743,0.21024565005008666
dad,predicted_total_mg_ml_zscore,p_uvb_mw_cm2,1.3744215074397073,0.38838384985868135,0.2919443759069743,0.21024565005008666
dad,predicted_total_mg_ml_zscore,p_uva_mw_cm2:p_uvb_mw_cm2,-1.1459175545431581,0.1465809631762844,0.2919443759069743,0.21024565005008666
dad,predicted_total_mg_per_gDW_zscore,Intercept,0.007768525298896517,0.9787086809870418,0.3350363629838371,0.25830978948197214
dad,predicted_total_mg_per_gDW_zscore,p_uva_mw_cm2,0.9095559127662091,0.20371621772382348,0.3350363629838371,0.25830978948197214
dad,predicted_total_mg_per_gDW_zscore,p_uvb_mw_cm2,2.160556731064697,0.14891466748756355,0.3350363629838371,0.25830978948197214
dad,predicted_total_mg_per_gDW_zscore,p_uva_mw_cm2:p_uvb_mw_cm2,-1.4677059557695977,0.048783332653070444,0.3350363629838371,0.25830978948197214
dad,predicted_oxidized_mg_ml_zscore,Intercept,-0.07835770452388585,0.7909233962314224,0.19119445286342363,0.09787073588612627
dad,predicted_oxidized_mg_ml_zscore,p_uva_mw_cm2,1.2174116056009283,0.09733840499869287,0.19119445286342363,0.09787073588612627
dad,predicted_oxidized_mg_ml_zscore,p_uvb_mw_cm2,0.04158156962011217,0.977707398097857,0.19119445286342363,0.09787073588612627
dad,predicted_oxidized_mg_ml_zscore,p_uva_mw_cm2:p_uvb_mw_cm2,-1.3227278527460156,0.07778522179707728,0.19119445286342363,0.09787073588612627
dad,predicted_oxidized_mg_per_gDW_zscore,Intercept,-0.08522509448735835,0.761996112135063,0.20735562355756798,0.11589665704497965
dad,predicted_oxidized_mg_per_gDW_zscore,p_uva_mw_cm2,1.1538787387699712,0.09870132407130185,0.20735562355756798,0.11589665704497965
dad,predicted_oxidized_mg_per_gDW_zscore,p_uvb_mw_cm2,0.4923532338491551,0.728450604046935,0.20735562355756798,0.11589665704497965
dad,predicted_oxidized_mg_per_gDW_zscore,p_uva_mw_cm2:p_uvb_mw_cm2,-1.4131498180833018,0.049444092416049246,0.20735562355756798,0.11589665704497965
dad,predicted_reduced_mg_ml_zscore,Intercept,0.3178433237384073,0.7424899555573872,0.21195013074204072,0.12102129967381459
dad,predicted_reduced_mg_ml_zscore,p_uva_mw_cm2,0.9050787825059441,0.6991266580901992,0.21195013074204072,0.12102129967381459
dad,predicted_reduced_mg_ml_zscore,p_uvb_mw_cm2,2.944026737184459,0.5468105182431042,0.21195013074204072,0.12102129967381459
dad,predicted_reduced_mg_ml_zscore,p_uva_mw_cm2:p_uvb_mw_cm2,-0.8313923267583456,0.727116095022173,0.21195013074204072,0.12102129967381459
dad,predicted_reduced_mg_per_gDW_zscore,Intercept,0.22504726754061333,0.8078842007033891,0.20233656573754755,0.11029847716880303
dad,predicted_reduced_mg_per_gDW_zscore,p_uva_mw_cm2,0.8408240527507544,0.7075452538747713,0.20233656573754755,0.11029847716880303
dad,predicted_reduced_mg_per_gDW_zscore,p_uvb_mw_cm2,4.84099455712148,0.30390691222273974,0.20233656573754755,0.11029847716880303
dad,predicted_reduced_mg_per_gDW_zscore,p_uva_mw_cm2:p_uvb_mw_cm2,-1.5326511093975532,0.5028977044133132,0.20233656573754755,0.11029847716880303
