x,y
0.707,0.9947682688565952
0.707,0.8255782692474143
0.707,0.723334442146625
0.707,0.3970280991678045
0.707,0.94517800718518
0.768,1.2628936543278404
0.768,0.7787992185640907
0.768,0.4932194055330111
0.768,0.6421206339751239
0.768,1.0005590384181482
0.584,0.9736926256705184
0.584,1.0790114043168109
0.584,1.255954066152843
0.584,0.5500388874480391
0.584,0.9040368807911956
0.338,0.5200453207427675
0.338,0.8668510231553068
0.338,0.8088081421846567
0.338,1.0373432372473892
0.338,0.5651628740391357
0.246,0.7194223277782666
0.246,0.7483554026287729
0.246,0.5428540882871999
0.246,0.9770940916686844
0.246,0.5048126101399952
0.0,0.5450396208882419
0.0,0.9530731658141
0.0,0.1207616597017118
0.0,0.1555893290683165
0.0,0.0
