dataset,measurement,term,coef,pvalue,r_squared,adj_r_squared
dad,predicted_total_mg_ml_pct,Intercept,266.0225442071136,0.057528606854055114,0.2919443759069743,0.21024565005008666
dad,predicted_total_mg_ml_pct,p_uva_mw_cm2,388.7565490707053,0.2408930572305206,0.2919443759069743,0.21024565005008666
dad,predicted_total_mg_ml_pct,p_uvb_mw_cm2,591.6480689113757,0.3883838498586809,0.2919443759069743,0.21024565005008666
dad,predicted_total_mg_ml_pct,p_uva_mw_cm2:p_uvb_mw_cm2,-493.28383222120584,0.1465809631762843,0.2919443759069743,0.21024565005008666
dad,predicted_total_mg_per_gDW_pct,Intercept,279.31806572214384,0.043948268420915954,0.3350363629838373,0.25830978948197236
dad,predicted_total_mg_per_gDW_pct,p_uva_mw_cm2,416.17534426963664,0.20371621772382387,0.3350363629838373,0.25830978948197236
dad,predicted_total_mg_per_gDW_pct,p_uvb_mw_cm2,988.5818219028534,0.14891466748756355,0.3350363629838373,0.25830978948197236
dad,predicted_total_mg_per_gDW_pct,p_uva_mw_cm2:p_uvb_mw_cm2,-671.5618279818871,0.048783332653070416,0.3350363629838373,0.25830978948197236
dad,predicted_oxidized_mg_ml_pct,Intercept,-124.74019340461382,0.09393401450643557,0.19119445286342374,0.09787073588612649
dad,predicted_oxidized_mg_ml_pct,p_uva_mw_cm2,-298.5812070004217,0.09733840499869309,0.19119445286342374,0.09787073588612649
dad,predicted_oxidized_mg_ml_pct,p_uvb_mw_cm2,-10.198256028631164,0.977707398097857,0.19119445286342374,0.09787073588612649
dad,predicted_oxidized_mg_ml_pct,p_uva_mw_cm2:p_uvb_mw_cm2,324.41096913236163,0.07778522179707731,0.19119445286342374,0.09787073588612649
dad,predicted_oxidized_mg_per_gDW_pct,Intercept,-111.3436567389089,0.1600490785018608,0.20735562355756798,0.11589665704497965
dad,predicted_oxidized_mg_per_gDW_pct,p_uva_mw_cm2,-319.0177587984606,0.09870132407130174,0.20735562355756798,0.11589665704497965
dad,predicted_oxidized_mg_per_gDW_pct,p_uvb_mw_cm2,-136.1229910234472,0.7284506040469356,0.20735562355756798,0.11589665704497965
dad,predicted_oxidized_mg_per_gDW_pct,p_uva_mw_cm2:p_uvb_mw_cm2,390.69953597720223,0.049444092416049225,0.20735562355756798,0.11589665704497965
dad,predicted_reduced_mg_ml_pct,Intercept,19.366084592676003,0.6741103657448853,0.21195013074204094,0.12102129967381492
dad,predicted_reduced_mg_ml_pct,p_uva_mw_cm2,43.058054375082605,0.6991266580901994,0.21195013074204094,0.12102129967381492
dad,predicted_reduced_mg_ml_pct,p_uvb_mw_cm2,140.05859576158278,0.5468105182431042,0.21195013074204094,0.12102129967381492
dad,predicted_reduced_mg_ml_pct,p_uva_mw_cm2:p_uvb_mw_cm2,-39.5525082506861,0.7271160950221731,0.21195013074204094,0.12102129967381492
dad,predicted_reduced_mg_per_gDW_pct,Intercept,0.22144178261937597,0.9949515033212275,0.20233656573754744,0.11029847716880292
dad,predicted_reduced_mg_per_gDW_pct,p_uva_mw_cm2,31.812850733393333,0.7075452538747711,0.20233656573754744,0.11029847716880292
dad,predicted_reduced_mg_per_gDW_pct,p_uvb_mw_cm2,183.16059910874964,0.3039069122227397,0.20233656573754744,0.11029847716880292
dad,predicted_reduced_mg_per_gDW_pct,p_uva_mw_cm2:p_uvb_mw_cm2,-57.988351796219824,0.5028977044133129,0.20233656573754744,0.11029847716880292
