x,y
3.185,2.1634950500337715
3.185,1.3374224661873244
3.185,0.7313367557670651
3.185,0.6593566241041069
3.185,2.5063063175678173
2.488,3.230372847419385
2.488,1.0064070395166549
2.488,0.7310828944121164
2.488,1.6031517791370418
2.488,2.760109286785542
1.692,1.5153570908226774
1.692,1.04254661716374
1.692,1.5961033673981058
1.692,1.4429540868273356
1.692,2.5216484666553898
1.095,1.3858869321347331
1.095,1.1335157516866672
1.095,0.8841608188481707
1.095,1.04699357529621
1.095,1.3647366546767228
0.647,1.609294090866774
0.647,1.2131608814796528
0.647,1.1993693743903615
0.647,2.1675128108676067
0.647,1.0387216023262689
0.0,1.0622757611138731
0.0,0.9079045173781192
0.0,0.5353933885116051
0.0,0.7768485085199663
0.0,0.2707482715773425
