dataset,variant,measurement,term,alpha,coef_scaled,coef_orig,intercept_orig,r_squared
chromatogram,raw,conc_mg_ml,p_uva_mw_cm2,10.0,0.0031220060930220693,0.002892077589705158,0.038445446397445654,0.09171656112723481
chromatogram,raw,conc_mg_ml,p_uvb_mw_cm2,10.0,0.011320805717930264,0.041745708249269785,0.038445446397445654,0.09171656112723481
chromatogram,raw,conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,10.0,-0.0019517357043198798,-0.0022578485935385744,0.038445446397445654,0.09171656112723481
chromatogram,raw,amount_mg_per_gDW,p_uva_mw_cm2,10.0,0.026107562226765857,0.02418480085821174,0.5665945208797184,0.0819585401641244
chromatogram,raw,amount_mg_per_gDW,p_uvb_mw_cm2,10.0,0.1932742075996674,0.7127026895078297,0.5665945208797184,0.0819585401641244
chromatogram,raw,amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,10.0,-0.0745471815994344,-0.08623926321274157,0.5665945208797184,0.0819585401641244
chromatogram,delta,delta_conc_mg_ml,p_uva_mw_cm2,10.0,0.003122006093022051,0.0028920775897051413,0.021604133493303933,0.13880133636646097
chromatogram,delta,delta_conc_mg_ml,p_uvb_mw_cm2,10.0,0.011320805717930255,0.04174570824926975,0.021604133493303933,0.13880133636646097
chromatogram,delta,delta_conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,10.0,-0.0019517357043198997,-0.002257848593538598,0.021604133493303933,0.13880133636646097
chromatogram,delta,delta_amount_mg_per_gDW,p_uva_mw_cm2,1.0,0.05444746131609157,0.05043753214977913,0.162667540749885,0.16088297877975222
chromatogram,delta,delta_amount_mg_per_gDW,p_uvb_mw_cm2,1.0,0.3397197320888592,1.2527236290116652,0.162667540749885,0.16088297877975222
chromatogram,delta,delta_amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,1.0,-0.24312131565236944,-0.28125279431532246,0.162667540749885,0.16088297877975222
chromatogram,zscore,z_conc_mg_ml,p_uva_mw_cm2,10.0,0.11091130131203392,0.10274294136917372,0.31619375930319316,0.11707254204459239
chromatogram,zscore,z_conc_mg_ml,p_uvb_mw_cm2,10.0,0.44286981079391213,1.6330917051716736,0.31619375930319316,0.11707254204459239
chromatogram,zscore,z_conc_mg_ml,p_uva_mw_cm2:p_uvb_mw_cm2,10.0,-0.05942755972809091,-0.0687482592302408,0.31619375930319316,0.11707254204459239
chromatogram,zscore,z_amount_mg_per_gDW,p_uva_mw_cm2,10.0,0.06299087416594662,0.058351742470473145,0.3635251785476945,0.10649124550018596
chromatogram,zscore,z_amount_mg_per_gDW,p_uvb_mw_cm2,10.0,0.5587669584806625,2.060464865245492,0.3635251785476945,0.10649124550018596
chromatogram,zscore,z_amount_mg_per_gDW,p_uva_mw_cm2:p_uvb_mw_cm2,10.0,-0.19274856210344893,-0.2229795094123708,0.3635251785476945,0.10649124550018596
