sample_name,sample_id,form,area,conc_mg_ml,conc_se_mg_ml,loq_flag,batch_id,intercept_mode,calibration_qc_pass,total_conc_observed,sum_parts_conc,predicted_total_conc,total_vs_parts_abs_diff,total_vs_parts_rel_diff,total_vs_parts_allowed_abs_diff,total_vs_parts_fail,p_uva_mw_cm2,p_uvb_mw_cm2,amount_mg_per_gDW,delta_conc_mg_ml,delta_amount_mg_per_gDW
Youssef Pig 29_09_25 1D,1D,oxidized,3466.0,0.0221456768944247,0.0064905673404387,False,Yousseff Scyt 29_09_25.txt,free,True,0.0596860961313957,0.151955379896451,0.0770822323731352,0.0173961362417395,0.2256828286644491,0.0050121147084045,True,3.185,0.707,0.3690946149070785,0.0221456768944247,0.3690946149070785
Youssef Pig 29_09_25 1D,1D,reduced,7029.0,0.1298097030020263,0.0017730864031946,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0596860961313957,0.151955379896451,0.0770822323731352,0.0173961362417395,0.2256828286644491,0.0050121147084045,True,3.185,0.707,2.1634950500337715,0.08858441208663279,1.3866465415138052
Youssef Pig 29_09_25 1D,1D,total,10495.0,0.0596860961313957,0.0038012726653747,False,Yousseff Scyt 29_09_25.txt,free,True,0.0596860961313957,0.151955379896451,0.0770822323731352,0.0173961362417395,0.2256828286644491,0.0050121147084045,True,3.185,0.707,0.9947682688565952,0.0503874483343639,0.8391789397882787
Youssef Pig 29_09_25 1F,1F,oxidized,6150.0,0.0517783192798259,0.0058693362803102,False,Yousseff Scyt 29_09_25.txt,free,True,0.0776043573092569,0.1774960311014344,0.0897688297098809,0.012164472400624,0.135508866941206,0.0050121147084045,True,3.185,0.707,0.5508331838279361,0.0517783192798259,0.5508331838279361
Youssef Pig 29_09_25 1F,1F,reduced,6830.0,0.1257177118216084,0.0017458364276964,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0776043573092569,0.1774960311014344,0.0897688297098809,0.012164472400624,0.135508866941206,0.0050121147084045,True,3.185,0.707,1.3374224661873244,0.0844924209062149,0.5605739576673581
Youssef Pig 29_09_25 1F,1F,total,12980.0,0.0776043573092569,0.0037370749110592,False,Yousseff Scyt 29_09_25.txt,free,True,0.0776043573092569,0.1774960311014344,0.0897688297098809,0.012164472400624,0.135508866941206,0.0050121147084045,True,3.185,0.707,0.8255782692474143,0.0683057095122251,0.6699889401790978
Youssef Pig 29_09_25 1G,1G,oxidized,6746.0,0.0583584440420089,0.005786388424212,False,Yousseff Scyt 29_09_25.txt,free,True,0.0585900898138766,0.1175967212591412,0.0600155388239434,0.0014254490100668,0.023751332371578,0.0050121147084045,False,3.185,0.707,0.7204746178025802,0.0583584440420089,0.7204746178025802
Youssef Pig 29_09_25 1G,1G,reduced,3597.0,0.0592382772171322,0.0016162737189793,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0585900898138766,0.1175967212591412,0.0600155388239434,0.0014254490100668,0.023751332371578,0.0050121147084045,False,3.185,0.707,0.7313367557670651,0.018012986301738698,-0.0455117527529012
Youssef Pig 29_09_25 1G,1G,total,10343.0,0.0585900898138766,0.0038088106522644,False,Yousseff Scyt 29_09_25.txt,free,True,0.0585900898138766,0.1175967212591412,0.0600155388239434,0.0014254490100668,0.023751332371578,0.0050121147084045,False,3.185,0.707,0.723334442146625,0.0492914420168448,0.5677451130783085
Youssef Pig 29_09_26 1I,1I,oxidized,3203.0,0.0192420312359446,0.0065705809887988,False,Yousseff Scyt 29_09_25.txt,free,True,0.0293800793384175,0.0680344214196485,0.0353968657877596,0.0060167864493421,0.1699807685069886,0.0050121147084045,True,3.185,0.707,0.2600274491343869,0.0192420312359446,0.2600274491343869
Youssef Pig 29_09_26 1I,1I,reduced,3089.0,0.0487923901837039,0.001654119351162,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0293800793384175,0.0680344214196485,0.0353968657877596,0.0060167864493421,0.1699807685069886,0.0050121147084045,True,3.185,0.707,0.6593566241041069,0.0075670992683103955,-0.11749188441585945
Youssef Pig 29_09_26 1I,1I,total,6292.0,0.0293800793384175,0.0041491229317095,False,Yousseff Scyt 29_09_25.txt,free,True,0.0293800793384175,0.0680344214196485,0.0353968657877596,0.0060167864493421,0.1699807685069886,0.0050121147084045,True,3.185,0.707,0.3970280991678045,0.020081431541385697,0.24143877009948803
Youssef Pig 29_09_27 1J,1J,oxidized,2237.0,0.0085769296918695,0.0068890785559007,False,Yousseff Scyt 29_09_25.txt,free,True,0.0756142405748144,0.2090814350972948,0.1054579873197595,0.0298437467449451,0.2829918103259055,0.0052728993659879,True,3.185,0.707,0.1072116211483687,0.0085769296918695,0.1072116211483687
Youssef Pig 29_09_27 1J,1J,reduced,10467.0,0.2005045054054254,0.0024627584634051,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0756142405748144,0.2090814350972948,0.1054579873197595,0.0298437467449451,0.2829918103259055,0.0052728993659879,True,3.185,0.707,2.5063063175678173,0.15927921449003188,1.729457809047851
Youssef Pig 29_09_27 1J,1J,total,12704.0,0.0756142405748144,0.0037386159065343,False,Yousseff Scyt 29_09_25.txt,free,True,0.0756142405748144,0.2090814350972948,0.1054579873197595,0.0298437467449451,0.2829918103259055,0.0052728993659879,True,3.185,0.707,0.94517800718518,0.06631559277778261,0.7895886781168635
Youssef Pig 29_09_28 2B,2B,oxidized,2945.0,0.016393587966409,0.0066519543044602,False,Yousseff Scyt 29_09_25.txt,free,True,0.1010314923462272,0.2748234157599598,0.1381134599658374,0.0370819676196102,0.2684891655656334,0.0069056729982918,True,2.488,0.768,0.2049198495801129,0.016393587966409,0.2049198495801129
Youssef Pig 29_09_28 2B,2B,reduced,13284.0,0.2584298277935508,0.0032001613012747,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.1010314923462272,0.2748234157599598,0.1381134599658374,0.0370819676196102,0.2684891655656334,0.0069056729982918,True,2.488,0.768,3.230372847419385,0.21720453687815727,2.4535243388994186
Youssef Pig 29_09_28 2B,2B,total,16229.0,0.1010314923462272,0.0038240549477526,False,Yousseff Scyt 29_09_25.txt,free,True,0.1010314923462272,0.2748234157599598,0.1381134599658374,0.0370819676196102,0.2684891655656334,0.0069056729982918,True,2.488,0.768,1.2628936543278404,0.0917328445491954,1.1073043252595238
Youssef Pig 29_09_29 2E,2E,oxidized,5813.0,0.0480576782649674,0.0059257501918551,False,Yousseff Scyt 29_09_25.txt,free,True,0.0568523429551786,0.1215253921496833,0.0619669951614066,0.0051146522062279,0.0825383285554795,0.0050121147084045,True,2.488,0.768,0.6583243597940752,0.0480576782649674,0.6583243597940752
Youssef Pig 29_09_29 2E,2E,reduced,4289.0,0.0734677138847158,0.0015898837343562,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0568523429551786,0.1215253921496833,0.0619669951614066,0.0051146522062279,0.0825383285554795,0.0050121147084045,True,2.488,0.768,1.0064070395166549,0.0322424229693223,0.22955853099668855
Youssef Pig 29_09_29 2E,2E,total,10102.0,0.0568523429551786,0.0038215902678717,False,Yousseff Scyt 29_09_25.txt,free,True,0.0568523429551786,0.1215253921496833,0.0619669951614066,0.0051146522062279,0.0825383285554795,0.0050121147084045,True,2.488,0.768,0.7787992185640907,0.0475536951581468,0.6232098894957743
Youssef Pig 29_09_30 2G,2G,oxidized,4162.0,0.0298298494354974,0.0062939538400288,False,Yousseff Scyt 29_09_25.txt,free,True,0.0399507718481739,0.0890475638828789,0.0458345509928518,0.0058837791446779,0.1283699527370866,0.0050121147084045,True,2.488,0.768,0.3682697461172527,0.0298298494354974,0.3682697461172527
Youssef Pig 29_09_30 2G,2G,reduced,3596.0,0.0592177144473814,0.0016163332257625,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0399507718481739,0.0890475638828789,0.0458345509928518,0.0058837791446779,0.1283699527370866,0.0050121147084045,True,2.488,0.768,0.7310828944121164,0.0179924235319879,-0.04576561410784996
Youssef Pig 29_09_30 2G,2G,total,7758.0,0.0399507718481739,0.0039965834088907,False,Yousseff Scyt 29_09_25.txt,free,True,0.0399507718481739,0.0890475638828789,0.0458345509928518,0.0058837791446779,0.1283699527370866,0.0050121147084045,True,2.488,0.768,0.4932194055330111,0.0306521240511421,0.33763007646469456
Youssef Pig 29_09_31 2I,2I,oxidized,2466.0,0.011105199105527,0.0068102441266155,False,Yousseff Scyt 29_09_25.txt,free,True,0.0558644951558357,0.1505794038904497,0.0763987551433238,0.020534259987488,0.2687774159273385,0.0050121147084045,True,2.488,0.768,0.1276459667301961,0.011105199105527,0.1276459667301961
Youssef Pig 29_09_31 2I,2I,reduced,7499.0,0.1394742047849226,0.001844481827722,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0558644951558357,0.1505794038904497,0.0763987551433238,0.020534259987488,0.2687774159273385,0.0050121147084045,True,2.488,0.768,1.6031517791370418,0.09824891386952908,0.8263032706170754
Youssef Pig 29_09_31 2I,2I,total,9965.0,0.0558644951558357,0.0038293044005116,False,Yousseff Scyt 29_09_25.txt,free,True,0.0558644951558357,0.1505794038904497,0.0763987551433238,0.020534259987488,0.2687774159273385,0.0050121147084045,True,2.488,0.768,0.6421206339751239,0.0465658473588039,0.4865313049068074
Youssef Pig 29_09_32 2J,2J,oxidized,1796.0,0.0037080789869656,0.007046329814924,False,Yousseff Scyt 29_09_25.txt,free,True,0.0650363374971796,0.1831151826280258,0.0925599845719823,0.0275236470748027,0.2973601087130481,0.0050121147084045,True,2.488,0.768,0.0570473690302406,0.0037080789869656,0.0570473690302406
Youssef Pig 29_09_32 2J,2J,reduced,9441.0,0.1794071036410602,0.0022233000177533,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0650363374971796,0.1831151826280258,0.0925599845719823,0.0275236470748027,0.2973601087130481,0.0050121147084045,True,2.488,0.768,2.760109286785542,0.13818181272566668,1.9832607782655756
Youssef Pig 29_09_32 2J,2J,total,11237.0,0.0650363374971796,0.0037703568272575,False,Yousseff Scyt 29_09_25.txt,free,True,0.0650363374971796,0.1831151826280258,0.0925599845719823,0.0275236470748027,0.2973601087130481,0.0050121147084045,True,2.488,0.768,1.0005590384181482,0.0557376897001478,0.8449697093498317
Youssef Pig 29_09_33 3A,3A,oxidized,4139.0,0.0295759184463528,0.0063000852657734,False,Yousseff Scyt 29_09_25.txt,free,True,0.0418687829038322,0.0947362733517279,0.0486602567987766,0.0067914738949443,0.1395692160653595,0.0050121147084045,True,1.692,0.584,0.6878120568919264,0.0295759184463528,0.6878120568919264
Youssef Pig 29_09_33 3A,3A,reduced,3885.0,0.0651603549053751,0.0016016737690642,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0418687829038322,0.0947362733517279,0.0486602567987766,0.0067914738949443,0.1395692160653595,0.0050121147084045,True,1.692,0.584,1.5153570908226774,0.023935063989981596,0.7385085823027111
Youssef Pig 29_09_33 3A,3A,total,8024.0,0.0418687829038322,0.0039722960505061,False,Yousseff Scyt 29_09_25.txt,free,True,0.0418687829038322,0.0947362733517279,0.0486602567987766,0.0067914738949443,0.1395692160653595,0.0050121147084045,True,1.692,0.584,0.9736926256705184,0.032570135106800395,0.8181032966022019
Youssef Pig 29_09_34 3C,3C,oxidized,8823.0,0.0812895164095494,0.0056753448226177,False,Yousseff Scyt 29_09_25.txt,free,True,0.079846843919444,0.1584379660796661,0.0803022740215312,0.0004554301020872,0.0056714471369157,0.0050121147084045,False,1.692,0.584,1.0985069785074244,0.0812895164095494,1.0985069785074244
Youssef Pig 29_09_34 3C,3C,reduced,4468.0,0.0771484496701167,0.00158795884069,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.079846843919444,0.1584379660796661,0.0803022740215312,0.0004554301020872,0.0056714471369157,0.0050121147084045,False,1.692,0.584,1.04254661716374,0.035923158754723204,0.26569810864377374
Youssef Pig 29_09_34 3C,3C,total,13291.0,0.079846843919444,0.0037370299574515,False,Yousseff Scyt 29_09_25.txt,free,True,0.079846843919444,0.1584379660796661,0.0803022740215312,0.0004554301020872,0.0056714471369157,0.0050121147084045,False,1.692,0.584,1.0790114043168109,0.0705481961224122,0.9234220752484944
Youssef Pig 29_09_35 3D,3D,oxidized,8164.0,0.0740138415466658,0.0056798315798888,False,Yousseff Scyt 29_09_25.txt,free,True,0.0866608305645461,0.1841449738971351,0.0930715043083913,0.0064106737438451,0.0688790171759063,0.0050121147084045,True,1.692,0.584,1.072664370241534,0.0740138415466658,1.072664370241534
Youssef Pig 29_09_35 3D,3D,reduced,6072.0,0.1101311323504693,0.0016601396396681,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0866608305645461,0.1841449738971351,0.0930715043083913,0.0064106737438451,0.0688790171759063,0.0050121147084045,True,1.692,0.584,1.5961033673981058,0.0689058414350758,0.8192548588781394
Youssef Pig 29_09_35 3D,3D,total,14236.0,0.0866608305645461,0.0037478773315052,False,Yousseff Scyt 29_09_25.txt,free,True,0.0866608305645461,0.1841449738971351,0.0930715043083913,0.0064106737438451,0.0688790171759063,0.0050121147084045,True,1.692,0.584,1.255954066152843,0.0773621827675143,1.1003647370845264
Youssef Pig 29_09_36 3E,3E,oxidized,1990.0,0.0058499316780117,0.0069762933525408,False,Yousseff Scyt 29_09_25.txt,free,True,0.0440031109958431,0.1212862586241986,0.0618482123346418,0.0178451013387987,0.288530592319214,0.0050121147084045,True,1.692,0.584,0.0731241459751473,0.0058499316780117,0.0731241459751473
Youssef Pig 29_09_36 3E,3E,reduced,6330.0,0.1154363269461868,0.0016859310516825,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0440031109958431,0.1212862586241986,0.0618482123346418,0.0178451013387987,0.288530592319214,0.0050121147084045,True,1.692,0.584,1.4429540868273356,0.07421103603079329,0.6661055783073693
